"PETERSFIELD, THE MOUNT, RAMSHILL",,,,,,,,,,,,
Grid ref,SU751238,Long,-0.930929,Lat,51.008691,,,,,,,
Station no,RR6843,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,3.35,7.06,1.15,8.77,1.08,2.41,1.32,,
February,,,,2.43,5.01,0.76,4.15,1.95,1.63,0.59,,
March,,,,4.80,1.47,5.81,1.76,1.14,4.13,5.18,,
April,,,,2.62,1.74,1.71,0.80,5.25,2.66,1.86,,
May,,,,3.32,3.87,0.58,2.45,1.89,2.48,2.68,,
June,,,,3.43,0.92,5.31,1.96,3.69,0.89,3.18,,
July,,,,3.05,1.41,0.44,0.55,2.51,3.41,3.27,,
August,,,,5.57,2.95,3.65,0.97,2.54,6.12,2.52,,
September,,,,3.32,2.37,2.63,1.36,0.63,2.24,2.93,,
October,,,,10.13,2.89,2.30,6.43,8.16,2.91,9.17,,
November,,,,2.47,1.54,4.92,5.47,3.05,1.41,0.77,,
December,,,,4.22,3.90,0.90,2.33,4.84,4.71,5.46,,
Total,,,,48.71,35.13,30.16,37.00,36.73,35.00,38.93,,
Calc annual,0.00,0.00,0.00,48.71,35.13,30.16,37.00,36.73,35.00,38.93,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
