GREAT BARRINGTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP204135,Long,-1.705442,Lat,51.819757,Elevation,430,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,1.68,2.97,0.54,2.76,2.68,4.64,3.52,2.77,4.77,2.77,0.78,0.76,3.22,2.81,1.02,2.31,2.32,3.51,0.81,1.92,0.66,3.47,3.1,1.19,0.89,2.05,3.85,0.89,5.02,0.81,1.14,1.29,2.41,1.1,4.46,4.3,0.79,3.89,1.72,1.91,3.11,4.32,3.01,2.26,3.24,1.83,3.68,1.79,4.47,2.87,4.43,1.01,4.61,1.99,2.83,2.46,2.34,0.61,3.52,4.22,3.46,6.55,2.83,3.19,3.73,4.37,1.9,2.05,2.65,1.85,6.03,1.22,0.57,3.76,2.59,1.2,1.46,2.62,3.98,3.23,,,
February,2,3.83,3.86,4.37,3.31,6.03,1.69,3.87,0.8,0.9,1.01,1.79,0.64,0,1.52,3.15,1.99,0.11,0.34,2.93,1.37,3.2,5.48,2.29,1,1.23,4.65,0.78,2.36,1.53,1.1,0.35,3.33,1.48,2.36,1.45,2.85,4.35,4.85,1.18,1.44,3.29,0.94,0.48,3.24,5.32,0.61,3.43,2.45,3.48,2.69,0.73,0.66,1.62,0.18,3.47,0.3,3.31,2.31,5.04,0.88,1.52,2.2,2.9,0.76,2.04,0.99,2.32,2.67,1.78,1.37,1.77,5.3,3.42,0.52,2.02,2.5,1.61,0.34,3.56,,,
March,1.11,1.17,2.05,2.13,1.65,1.52,2.52,0.79,2.64,1.6,3.98,2.96,0.96,1.9,0.83,0.18,2.34,2.41,2.64,4.26,0.79,0.52,0.76,2.02,1.53,2.73,1.48,3.82,1.54,1.01,3.01,3.62,0.59,2.07,4.93,3.84,4.14,1,4.95,2.33,1.38,5.12,2.96,1.57,2.81,2.18,1.45,0.44,0.57,2.59,2.96,0.09,1.83,0.12,2.25,2.83,2.54,0.41,2.43,3.29,0.26,2.04,2.44,2.75,2.97,1.16,0.49,0.76,0.92,7.16,1.15,1.68,1.03,3.31,2.73,1.07,2.65,1.64,0.58,2.96,,,
April,3.02,2.5,1.83,0.84,4.58,1.48,2.07,2.01,2.06,1.4,1.89,2.88,1.28,0.96,0.73,0.07,2.21,2.39,0.44,1.72,1.73,1.87,1.02,2.27,1.27,1.72,0.89,2.09,0.6,2.6,3.9,1.94,2.66,0.69,0.05,3.52,1.31,1.19,1.05,1.5,2.95,2.91,5.55,1.53,3.32,2.19,3.18,1.82,2.92,1.45,0.71,1.35,3.32,3.52,3.2,1.2,2.35,4.25,1.56,3.1,0.06,3.89,1.53,0.91,0.86,0.56,1.67,1.24,1.48,2.38,2.23,1.67,2.73,3.17,2.18,1.67,0.35,0.83,2.49,0.24,,,
May,5.28,2.43,0.73,0.91,2.93,1.85,1.27,2.71,4.65,1.38,2.12,2.82,2.11,3.5,1.16,1.25,1.85,0.29,0.28,1.07,3.48,1.45,1.81,1.08,2.14,3.84,2.85,0.33,1.81,3.23,1.87,1.68,1.53,1.03,2.48,2.39,1.29,3.97,2.42,3.35,1.75,0.39,1.96,2,0.68,1.24,4.88,3.97,2.75,1.38,0.84,2.58,1.36,4.32,6.12,1.78,0.8,1.07,0.88,2.26,2.1,0.92,1,1.43,3.98,3.05,0.77,2.34,3.51,1.53,3.83,2.2,2.45,2.75,2.92,1.85,2.81,3.97,0.52,1.26,,,
June,2.13,5.14,1.75,2.29,4.94,4.22,3.57,1.81,1.49,1.47,2.11,0.77,2.75,1.68,3.25,1.01,2.01,1.11,1.83,2.37,1.28,1.61,1.73,1.72,2.43,3.86,0.98,5.02,3.13,1.97,1.12,5.27,3.75,2.3,5.27,0.56,2.32,1.26,2.15,2.32,1.17,0.87,2.7,0.47,0.98,0.35,2.27,0.14,2.48,3.67,2.66,1.57,1.95,2.85,0.95,1.88,1.6,4.3,3.84,1.08,1.03,2.19,0.37,2.88,0.15,1.75,1.84,3.17,2.33,1.74,2.33,0.46,1.24,0.85,0.96,1.48,3.74,3.32,2.26,1.4,,,
July,1.23,3.68,5.86,3.59,5.76,4.14,3.34,0.36,3.29,0.81,3.93,2.74,3.7,2.7,2.31,2.79,2.89,3.41,0.87,0.97,0.28,1.17,1.81,2.61,0.81,2.3,2.22,0.57,1.03,4.22,2.79,2.11,1.94,2.06,4.35,2.34,3.55,3.62,1.72,2.28,3.8,2.59,4.53,0.25,5.01,1.78,3.67,3.29,2.17,2.76,2.61,1.44,2.99,3.9,2.55,1.13,0.7,0.72,5.96,1.66,1.5,5.32,2.38,2.38,2.21,0.68,2.43,1.64,0.98,2.53,0.85,1.38,4.4,1.12,0.27,2.85,2.09,0.17,2.25,3.88,,,
August,4.36,5.89,1.23,6.1,3.39,1.61,1.73,2.3,1.75,0.94,2.96,3.41,2.28,6.32,3.03,1.58,2.25,2.26,2.04,4.73,1.67,1.43,3.94,1.91,2.02,2.32,2.22,5.2,1.06,2.31,3.68,2.75,3.19,0.88,6.06,0.79,1.67,1.97,4.47,5.64,1.48,2.42,1.23,1.76,5.19,1.77,2.22,2.82,1.36,4.69,1.73,2.02,2.63,3.21,2.7,0.75,1.97,1.47,0.21,0.26,2.59,2,0.09,4.29,4.29,2.47,1.99,1.91,5.97,0.5,4.01,1,3.73,4.83,3.03,3.69,3.37,0.59,3.68,2.77,,,
September,2.52,3.23,3.93,2.22,4.37,5.35,1.51,3.92,2.78,2.87,0.79,2.07,1.43,1.73,2.8,0.72,2.13,0.98,5.71,1.76,1.15,2,0.34,1.82,1.91,1.98,2.51,0.96,0.83,0.85,1.6,3.45,0.3,1.21,0.98,2.16,1.64,1.61,1.43,2.51,5.33,1.98,1.64,1.73,2.21,2.59,4.25,3.83,1.3,6.13,0.76,0.48,3.59,1.92,2.8,2.39,3.1,6.08,5.14,1.87,3.93,1.84,0.54,0.95,1.78,1.28,2.83,1.37,3.72,1.96,1.11,2.39,3.63,2.48,0.79,2.32,2.8,0.63,3.3,3.14,,,
October,2.65,0.93,5.36,2.13,8.45,3.01,0.84,3.35,4.09,2.39,0.63,2.75,1.52,6.46,2.77,2.85,4.06,3.29,3.54,1.74,2.83,2.75,2.74,2.16,2.52,4.1,0.74,1.41,5.79,7,1.67,4.54,2.34,2.9,4.03,4.61,2.28,3.58,4.66,3.85,1.81,1.96,2.96,1.25,0.79,4.11,4.16,3.22,2.59,1.71,5.3,4.19,1.7,0.66,4.33,2.97,1.62,5.27,1.34,3.24,3.64,4.69,3.66,1.98,3.68,2.4,4.42,3.41,0.58,0.4,3.61,5.87,0.55,0.72,4.11,3.91,2.99,1.54,1.9,,,,
