GLENFESHIE LODGE,,,,,,,,,,
Grid ref,NN842933,Long,-3.908787,Lat,57.016254,Elevation,1170,ft,,
Station no,5692/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,3.59,3.46,3.07,6.12,3.92,2.53,3.84
February,,,,3.06,4.05,3.05,4.3,2.87,0.84,3.56
March,,,1.53,3.21,1.17,3.44,3.54,3.34,3.36,0.94
April,,,3.7,1.36,0.74,1.85,0.92,1.38,3.15,3.98
May,,,2.58,4.26,3.42,2.2,1.01,2.33,1.83,0.87
June,,,3.36,2.44,0.79,3.91,1.6,2.57,2.41,2.44
July,,,4.71,2.85,0.41,5.28,4.96,4.53,3.3,2.65
August,,,3.16,2.41,0.7,4.14,4.87,4.93,1.96,6.59
September,,,3.68,3.72,3.92,4.74,2.49,3.44,0.75,2.77
October,,,2.63,7.43,4.1,4.63,2.85,2.97,5.46,3.66
November,,,6.26,7.88,1.26,2.24,2.71,0.95,5.14,4.1
December,,,5.74,7.06,7.44,7.88,4.57,5.2,7.05,4.05
Total,,,,49.27,31.46,46.43,39.94,38.43,37.78,39.45
,,,,,,,,,,
Station no,5692/7,,,,,,,,,
Midas,14780,,,,,,,,,
Hyd Stn,816474,,,,,,,,,
