"EWESLEY STATION REDPATH",,,,,,,,,,,,
Grid ref,NZ004926,Long,-1.995255,Lat,55.227619,,,,,,,
Station no,RR4811,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.63,2.85,1.26,4.09,2.07,0.88,3.03,1.01,2.58,1.85,,
February,3.06,2.16,2.31,2.68,2.82,0.98,1.11,1.90,1.53,2.59,,
March,2.30,2.70,1.80,2.36,2.10,2.53,1.81,1.87,4.01,,,
April,3.13,2.00,1.83,1.30,2.23,3.35,0.89,3.21,2.18,,,
May,2.05,3.49,3.12,1.79,2.57,1.12,4.63,4.09,2.71,,,
June,5.02,1.84,1.87,1.82,1.80,1.31,1.94,3.90,0.48,,,
July,1.62,1.95,2.96,5.17,1.56,1.12,2.36,1.53,2.86,,,
August,5.11,3.13,1.87,3.13,2.49,4.75,4.73,2.86,3.43,,,
September,1.68,1.31,1.21,2.70,1.16,2.40,0.93,0.38,2.92,,,
October,5.54,3.04,2.39,7.96,0.86,3.18,6.64,5.58,3.11,,,
November,5.73,5.88,2.00,2.89,3.22,5.34,3.88,2.56,1.61,,,
December,3.10,4.53,4.92,3.21,2.79,1.23,2.12,3.52,2.04,,,
Total,42.97,34.88,27.54,39.10,25.67,28.19,34.07,32.41,29.46,,,
Calc annual,42.97,34.88,27.54,39.10,25.67,28.19,34.07,32.41,29.46,4.44,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,,
