ASHBURTON (WEST STREET),,,,,,,,,,,,
Grid ref,SX756695,Long,-3.755867,Lat,50.512036,,,,,,,
Station no,1699/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.41,6.71,1.40,2.31,7.42,5.90,7.95,7.10,10.63,6.18,,
February,7.15,0.58,2.18,5.04,4.61,0.24,9.27,5.90,0.45,7.68,,
March,5.72,4.91,0.89,5.74,2.75,1.99,6.75,2.77,6.49,4.35,,
April,2.63,5.83,3.48,0.37,1.69,0.92,0.47,0.94,5.89,3.73,,
May,2.67,2.68,5.28,3.63,5.62,1.06,2.95,4.24,1.82,2.61,,
June,0.89,1.04,2.77,4.45,3.53,2.82,2.31,3.86,1.96,2.09,,
July,1.85,1.65,3.47,2.76,3.53,4.11,5.12,4.37,1.23,4.76,,
August,7.30,5.89,2.76,3.00,0.70,4.61,3.68,5.38,2.69,4.59,,
September,5.74,4.41,5.52,5.06,1.31,9.65,5.19,7.15,0.14,7.47,,
October,1.25,10.35,4.81,5.44,3.86,2.66,3.28,4.91,4.94,10.50,,
November,8.92,6.37,3.43,12.28,7.05,1.79,2.85,2.91,11.28,11.05,,
December,6.71,5.05,0.92,4.88,8.90,8.59,5.44,6.82,13.56,6.91,,
Total,58.24,55.47,36.91,54.96,50.97,44.34,55.26,56.35,61.06,71.92,,
Calc annual,58.24,55.47,36.91,54.96,50.97,44.34,55.26,56.35,61.08,71.92,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.02,0.00,,
