NAYLAND (HORKESLEY PARK),,,,,,,,,,,,
Grid ref,TL978333,Long,0.877681,Lat,51.962980,,,,,,,
Station no,1328/3/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,0.88,2.57,1.73,2.18,,
February,,,,,,,2.28,3.13,0.12,1.16,,
March,,,,,,,1.29,0.62,1.05,1.37,,
April,,,,,,,0.13,0.66,2.22,0.31,,
May,,,,,,,0.98,2.02,0.31,0.50,,
June,,,,,,,1.56,5.21,1.18,0.91,,
July,,,,,,,4.21,2.52,1.56,3.37,,
August,,,,,,,2.73,5.45,0.72,2.84,,
September,,,,,,,2.77,2.42,,3.87,,
October,,,,,,,1.71,2.15,1.45,6.06,,
November,,,,,,,2.73,1.22,2.39,3.58,,
December,,,,,,,1.76,3.47,3.75,2.28,,
Total,,,,,,,23.03,31.44,16.48,28.43,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,23.03,31.44,16.48,28.43,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
