SELHAM-SELHAM-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU933198,Long,-0.6726066,Lat,50.970071,Elevation,115,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,0.47,3.77,6.57,0.53,5.35,2.15,1.38,4.58,7.58,4.94,4.16,4.66,2.07,2.78,5.08,5.81,2.39,6.79,1.2,5.88,3.17,4.5,,,,,,,,
February,,1.97,4.04,1.61,6.86,7.89,5.29,0.65,1.82,2.91,0.32,0.26,3.88,6.35,0.52,5.81,2.46,5.69,2.81,0.9,0.92,2.37,0.4,,,,,,,,
March,,1.85,5.54,4.44,6.5,0.58,3.89,2.28,1.48,5.39,2.59,1.32,2.41,2.5,2.02,0.62,0.37,5.08,2.98,0.02,1.38,0.73,2.05,,,,,,,,
April,,1.5,0,3.23,1.7,1.68,0.93,2.63,2.66,2.64,3.73,0.81,4.15,3.66,3.54,3.42,3.13,2.14,1.95,0.6,2.61,3.52,2.89,,,,,,,,
May,,1.53,1.17,3.04,1.15,3.78,2.38,1.55,1.76,0.6,1.21,1.93,0.76,3.03,4.39,5.07,2.66,2.65,1.51,2.79,2.33,2.96,4.5,,,,,,,,
June,,2.16,3.33,0.6,0.28,0.46,2.74,2.59,1.21,0.78,1.61,0.04,0.93,0.32,2.79,0.05,2.45,3.83,1.92,1.49,0.37,1.67,2.04,,,,,,,,
July,,0.55,1.9,3.16,2.05,4.82,0.77,3.41,6.69,1.44,6.09,0.14,4.26,1.39,3.5,3.19,1.85,2.95,1.92,1.16,1.53,3.72,4.91,,,,,,,,
August,,1.05,7,2.35,1.66,1.68,3.42,6.47,1.47,3.33,1.47,1.71,2.81,2.12,2.62,3.89,1.61,3.7,2.92,2.72,3.77,4.13,0.9,,,,,,,,
September,,1.01,4.08,1.94,1.32,1.37,2.3,2.02,5.99,1.37,2.68,0.75,2.22,1.97,5.29,2.67,0.47,6.04,1.21,0.39,2.84,2.34,2.82,,,,,,,,
October,,6.28,3.8,5.43,2.68,4,6.36,5.45,1.48,0.43,1.81,0.47,1,7.15,5,4.94,2.54,3.07,7.12,3.7,1.52,0.47,7.64,,,,,,,,
November,,7.07,2.21,3.89,4.5,3.83,5.8,1.27,2.94,2.11,1.97,2.21,2.2,1.54,3.03,4.01,7.81,3.07,3.88,8.53,6.02,4.98,1.96,,,,,,,,
December,,10.94,5.4,1.98,12.52,10.77,4.69,1.59,3.62,6.14,4.17,1.88,5.07,3.53,6.53,4.52,0.24,4.74,3.85,8.98,3.82,0.88,1.25,,,,,,,,
Total,,36.38,42.24,38.24,41.75,46.21,40.72,31.29,35.7,34.72,32.59,15.68,34.35,35.63,42.01,43.27,31.4,45.35,38.86,32.48,32.99,30.94,35.86,,,,,,,,
