"SELHAM, SELHAM HOUSE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,455,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,4.94,4.16,4.66,2.07,2.78,5.08,5.81,2.39,6.79,1.20,5.88,
February,0.32,0.26,3.88,6.35,0.52,5.81,2.46,5.69,2.81,0.90,0.92,
March,2.59,1.32,2.41,2.50,2.02,0.62,0.37,5.08,2.98,0.02,1.38,
April,3.73,0.81,4.15,3.66,3.54,3.42,3.13,2.14,1.95,0.60,2.61,
May,1.21,1.93,0.76,3.03,4.39,5.07,2.66,2.65,1.51,2.79,2.33,
June,1.61,0.04,0.93,0.32,2.79,0.05,2.45,3.83,1.92,1.49,0.37,
July,6.09,0.14,4.26,1.39,3.50,3.19,1.85,2.95,1.92,1.16,1.53,
August,1.47,1.71,2.81,2.12,2.62,3.89,1.61,3.70,2.92,2.72,3.77,
September,2.68,0.75,2.22,1.97,5.29,2.67,0.47,6.04,1.21,0.39,2.84,
October,1.81,0.47,1.00,7.15,5.00,4.94,2.54,3.07,7.12,3.70,1.52,
November,1.97,2.21,2.20,1.54,3.03,4.01,7.81,3.07,3.88,8.53,6.02,
December,4.17,1.88,5.07,3.53,6.53,4.52,0.24,4.74,3.85,8.98,3.82,
Total,32.59,15.68,34.35,35.63,42.01,43.27,31.40,45.35,38.86,32.48,32.99,
Calc annual,32.59,15.68,34.35,35.63,42.01,43.27,31.40,45.35,38.86,32.48,32.99,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,
