MEIGLE ARTHURSTONE GARDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO262431,Long,-3.202779,Lat,56.57403,Elevation,196,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,2.48,2.34,4.78,1.3,5,1.66,1.86,1.22,0.6,1.59,3.57,3.5,1.92,3.3,2.52,2.78,1.2,3.68,,,,,,,,,
February,,,,1.98,0.92,1.4,3.5,1.82,1.16,3.95,3.05,3.57,2.25,4.29,2.71,2.68,1.52,1.2,0.78,1.61,1.14,,,,,,,,,
March,,,,1.75,1.82,1.8,2.51,1.85,0.86,2.97,3.04,2.2,2.54,2.43,3.65,1.81,3.6,0.78,2.05,1.1,2.32,,,,,,,,,
April,,,,0.21,1.3,1.08,2.9,2.64,1.73,1.85,2.92,0.52,3.57,1.38,1.31,2.76,1.16,1.75,1.43,3.75,0.6,,,,,,,,,
May,,,,2.63,1.89,1.13,0.3,3.03,3.57,2.2,0.6,1.72,1.92,0.99,2.06,3.52,3.24,0.44,2.93,2.65,2.27,,,,,,,,,
June,,,,1.28,1.43,2.9,3.09,3.96,2.59,3.64,2.14,3.34,3.42,2.9,0.48,0.83,0.95,0.37,2.55,0.72,2.92,,,,,,,,,
July,,,,4.21,3.16,2.04,1.06,4.38,1.55,2.9,4.41,2.7,3.91,5.52,4.28,0.93,3.68,2.05,4.2,1.89,3.29,,,,,,,,,
August,,,,2.62,5.5,2.2,2.68,6.05,4.7,4.38,1.29,3.46,1.85,2.36,2.63,4.44,0.98,3.53,2.04,6.43,2.9,,,,,,,,,
September,,,,3.26,2.62,3.8,2.74,2.23,2.66,3.06,2.87,3.06,2.75,3.15,2.28,3.42,2.84,3.7,0.27,0.63,2.87,,,,,,,,,
October,,,,2.8,2.96,5.53,4.61,4.49,2.9,0.86,0.8,4.87,3.57,2.24,1.9,1.8,3.99,0.88,2.43,3.1,1.9,,,,,,,,,
November,,,,1.16,2.9,4.45,4.33,4.24,1.27,1.57,2.76,4.42,4.05,2.45,1.98,3.04,1.6,2.86,6.41,0.71,6.3,,,,,,,,,
December,,,,2.2,2.73,3.08,9.28,3.45,1.32,1.2,2.1,2.13,4.48,1.72,3.17,1.34,1.85,1.85,2.95,1.53,1.89,,,,,,,,,
Total,,,,26.58,29.57,34.19,38.3,43.14,25.97,30.44,27.2,32.59,35.9,33,29.95,28.49,28.71,21.93,30.82,25.32,32.08,,,,,,,,,
