MEIGLE ARTHURSTONE HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 261 429,Long,-3.204568,Lat,56.572536,Elevation,187,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,2.48,2.16,5.13,1.29,5.07,1.29,1.66,1.17,0.9,1.5,3.53,3.5,1.85,3.04,2.62,3.19,1.2,3.66,,,,,,,,,
February,,,,1.98,0.86,1.47,3.45,1.91,1.94,3.59,3.46,3.39,2.2,4.05,2.53,2.78,1.49,1.66,0.72,1.6,1.17,,,,,,,,,
March,,,,1.64,1.84,1.74,2.24,1.79,1.05,3.35,3.06,2.67,2.26,2.44,3.4,1.68,3.64,0.96,3.87,1.07,2.17,,,,,,,,,
April,,,,0.4,1.34,1.08,3.14,2.63,1.63,1.74,2.92,0.62,3.22,1.29,1.4,2.44,1.33,1.7,1.5,3.45,0.59,,,,,,,,,
May,,,,2.63,2.18,1.05,0.28,3.04,3.79,2.19,0.63,1.59,1.82,0.97,1.95,3.35,3.22,0.46,2.95,2.54,2.07,,,,,,,,,
June,,,,1.28,1.42,2.76,3.07,3.61,2.57,3.45,2.11,3.16,3.28,2.74,0.36,0.8,0.83,0.4,3.14,0.73,2.8,,,,,,,,,
July,,,,4.22,3.16,1.96,1.09,4.42,1.6,2.8,4.42,2.71,3.99,5.33,4.22,0.87,3.5,2,4.01,1.83,3.28,,,,,,,,,
August,,,,2.6,5.51,2.2,2.69,5.4,4.53,4.13,1.25,3.22,1.88,2.4,2.46,4.26,1.01,3.22,2,6.27,2.4,,,,,,,,,
September,,,,3.26,2.76,3.14,2.73,2.31,2.65,3.03,2.8,3.17,2.62,2.91,2.28,3.24,2.93,3.75,0.19,0.61,2.7,,,,,,,,,
October,,,,2.87,3.28,5.71,4.51,4.47,2.88,0.86,0.81,4.88,3.62,2.11,1.79,1.79,4.21,0.85,2.42,3.01,1.93,,,,,,,,,
November,,,,1.14,2.6,4.48,4.59,4.31,1.32,1.37,2.8,3.95,3.92,2.46,1.85,3.12,1.56,2.75,6.33,0.71,6.18,,,,,,,,,
December,,,,2.18,2.26,3.12,9.8,3.35,1.29,1.2,2.03,2.05,4.36,1.68,2.79,1.39,1.78,1.87,2.87,1.52,1.78,,,,,,,,,
Total,,,,26.68,29.37,33.84,38.88,42.31,26.54,29.37,27.46,32.31,34.67,31.91,28.53,27.57,28.54,22.24,33.19,24.54,30.73,,,,,,,,,
