EAST-HARPTREE-HARPTREE-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST567558,Long,-2.62186,Lat,51.30036,Elevation,345,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1969/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,6.34,6.51,6.27,3.06,4.32,5.82,8.64,3.77,2.83,4.23,3.58,9.9,1.65,0.88,4.85,5.37,0.94,2.92,4.37,6.17,,,,
February,,,,,,,8,1.91,2.89,3.14,4.4,0.31,2.67,1.09,4.53,4.97,1.41,3.11,2.86,9.41,7.05,0.84,2.97,5.02,3.54,0.58,,,,
March,,,,,,4.25,4.67,0.34,1.99,3.89,4.8,2.83,1.3,0.48,1.32,1.48,7.41,2.48,1.92,2.42,5.31,4.92,1.37,4.78,1.63,1.97,,,,
April,,,,,,2.73,3.59,0.32,4.54,2.64,1.38,2.11,1.46,3.36,1.36,4.45,4.02,1.97,2.37,3.88,5.22,2.74,4.11,0.66,2.1,1.69,,,,
May,,,,,,1.11,3.12,2.66,1.26,3.28,2.12,6.47,3.62,1.49,3.38,5.04,3.33,5.2,5.39,2.51,3.8,4.36,2.55,3.96,4.83,0.72,,,,
June,,,,,,2.65,1.51,1.71,3.01,0.74,2.26,0.35,2.73,3.43,5.24,4.75,2.59,2.64,0.61,2.13,0.76,4.43,2.71,5.48,3.89,3.11,,,,
July,,,,,,6.88,3.06,3.69,5.54,5.26,1.89,3.63,3.48,3.37,1.85,1.88,3.86,1.82,1.33,6.04,2.57,0.93,6.18,4.59,0.15,3.29,,,,
August,,,,,,0.76,1.26,4.71,3.82,0.34,7.46,5.65,5.87,3.09,3.64,5.07,1.34,5.2,2.89,6.76,6.41,6.26,4.14,3.79,0.8,4.92,,,,
September,,,,,,3.84,2.73,3.17,0.75,2.28,0.72,2.81,3.02,3.69,3.59,7.02,3.45,3.46,1.85,6.48,2.95,4.54,5.07,6.32,3.04,5.33,,,,
October,,,,,,2.79,4.34,9.12,4.13,5.27,2.42,5.48,3.86,6.71,4.94,1.45,0.78,5.41,7.36,2.13,0.89,5.72,3.06,5.64,2.02,2.57,,,,
November,,,,,,5.91,2.71,8.08,11.59,12.01,3.37,1.76,3.28,8.68,0.63,8.78,3.8,2.68,5.12,8.81,10.81,5.1,3.34,8.85,5.78,0.9,,,,
December,,,,,,4.98,3.03,5.52,4.08,3.08,2.94,5.38,3.01,4.68,8.12,5.19,4.86,6.66,3.83,3.47,3.64,3.74,1.41,3.95,5.85,4.26,,,,
Total,,,,,,,44.36,47.74,49.87,44.99,38.08,42.6,42.94,43.84,41.43,54.31,40.43,50.53,37.18,54.92,54.26,48.95,37.85,55.96,38,35.51,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937 Inspection Good exposure Gauge correctly levelled No defects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957 Jan 1 Gauge moved to Stn No 1969/2/1 EAST HARPTREE COLEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
