GLEN ISLA (SHEILIN),,,,,,,,,,,,
Grid ref,NO196756,Long,-3.320354,Lat,56.864822,,,,,,,
Station no,5586/95,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,6.75,5.85,3.30,5.50,,
February,,,,,,,5.95,5.45,1.15,6.40,,
March,,,,,,,5.45,4.50,6.15,6.15,,
April,,,,,,,2.45,3.70,5.35,3.85,,
May,,,,,,,3.00,5.50,1.25,3.50,,
June,,,,,,,2.85,3.15,3.85,2.95,,
July,,,,,,,4.60,6.45,5.15,4.25,,
August,,,,,,,5.95,4.65,2.16,7.00,,
September,,,,,,,3.95,6.40,1.69,5.76,,
October,,,,,,,3.85,4.60,8.00,9.99,,
November,,,,,,,2.95,1.25,11.75,8.95,,
December,,,,,,,6.50,7.40,14.50,4.55,,
Total,,,,,,,54.25,58.90,64.30,68.85,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,54.25,58.90,64.30,68.85,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,-0.00,0.00,,
