GLEN ISLA (SHEILIN),,,,,,,,,,
Grid ref,NO196756,Long,-3.320354,Lat,56.864822,Elevation,1530,ft,,
Station no,5586/95,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,6.75,5.85,3.3,5.5
February,,,,,,,5.95,5.45,1.15,6.4
March,,,,,,,5.45,4.5,6.15,6.15
April,,,,,,,2.45,3.7,5.35,3.85
May,,,,,,,3,5.5,1.25,3.5
June,,,,,,,2.85,3.15,3.85,2.95
July,,,,,,,4.6,6.45,5.15,4.25
August,,,,,,,5.95,4.65,2.16,7
September,,,,,,,3.95,6.4,1.69,5.76
October,,,,,,,3.85,4.6,8,9.99
November,,,,,,,2.95,1.25,11.75,8.95
December,,,,,,,6.5,7.4,14.5,4.55
Total,,,,,,,54.25,58.9,64.3,68.85
,,,,,,,,,,
BR 1957 P,,,,,,,,,,
BR 1958 P Feb mar Est,,,,,,,,,,
BR 1959 P,,,,,,,,,,
BR 1960 P Au Sep Oct App,,,,,,,,,,
,,,,,,,,,,
Station no,5586/95,,,,,,,,,
Midas,to 1983,,,,,,,,,
Hyd Stn,872432,,,,,,,,,
