"BIRMINGHAM (SALTLEY SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,SP105888,Long,-1.846767,Lat,52.497007,,,,,,,
Station no,2481/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.61,2.68,1.09,1.08,2.10,3.60,1.11,2.17,3.25,5.84,,
February,2.78,0.65,1.29,2.63,2.05,0.85,2.81,4.44,0.20,2.41,,
March,3.84,2.34,1.46,2.68,3.16,1.08,2.13,2.01,1.45,1.76,,
April,2.47,2.73,2.36,0.63,1.09,1.33,0.21,0.87,3.41,1.13,,
May,3.48,2.69,2.35,2.36,5.35,0.59,1.46,2.36,1.07,1.04,,
June,1.23,1.60,1.82,3.76,2.90,1.95,0.87,4.10,0.86,2.96,,
July,0.84,1.76,3.24,4.10,0.70,3.29,3.12,3.54,1.63,2.91,,
August,4.28,3.76,2.42,3.55,0.43,5.04,4.28,2.42,2.81,3.32,,
September,2.79,1.64,2.10,1.32,1.68,2.15,4.36,3.43,0.10,5.82,,
October,0.54,4.04,2.18,3.38,1.50,1.46,1.29,2.42,2.94,5.52,,
November,6.79,2.13,1.34,5.97,2.50,0.81,1.97,1.82,4.13,4.04,,
December,2.66,2.87,1.48,2.05,2.08,3.21,2.37,2.85,4.59,3.64,,
Total,34.31,28.89,23.13,33.51,25.54,25.36,25.98,32.43,26.44,40.39,,
Calc annual,34.31,28.89,23.13,33.51,25.54,25.36,25.98,32.43,26.44,40.39,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
