OTTERBOURNE-ELDERFIELD,,,,,,,,,,,,,,,,,,,,
Grid ref,SU457228,Long,-1.34912,Lat,51.00313,Elevation,137,ft,,,,,,,,,,,,
Station no,RR7580,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,0.92,3.07,4.47,1.01,6.84,0.9,1.74,1.29,3.37,1.4,3.71,5.17,0.54,,,,,
February,,,1.53,2.17,4.13,0.94,3.06,1.91,1.45,0.43,4.49,1.75,2.7,1.48,5.28,,,,,
March,,,2.63,4,1.61,5.77,1.51,1.03,4.07,4.01,1.05,2.37,3.67,3.51,4.3,,,,,
April,,,2.22,2.95,1.59,1.86,0.84,3.87,3.43,1.43,3.18,1.99,0.1,3.04,1.28,,,,,
May,,,2.86,3.31,3.9,0.68,1.97,2.57,2.13,1.51,2.05,2.02,1.25,2.92,0.93,,,,,
June,,,3.53,3.77,1.43,5.16,2.54,2,1.24,5.13,2.67,1.85,5.09,0.45,0.49,,,,,
July,,,1.22,3.14,1.75,0.69,0.58,1.47,1.98,3.22,2.26,0.14,2.31,1.42,2.62,,,,,
August,,,3.61,4.23,3.46,3.57,1.31,2.42,4.03,2.44,2.11,0.65,6.7,1.68,2.87,,,,,
September,,,1.28,3,2.05,1.93,1.17,0.58,1.77,3.67,0.14,1.18,2.52,2.43,1.46,,,,,
October,,,2.32,10.63,2.11,2.04,5.69,7.71,1.65,8.51,4.56,4.43,3.88,4.13,1.97,,,,,
November,,,3.62,1.85,1.28,4.3,4.32,2.89,1.37,0.64,3.5,4.07,2.2,3.72,4.34,,,,,
December,,,2.25,3.31,4.33,0.78,1.97,4.86,3.39,4.54,5.43,8.75,4.88,2.06,10.78,,,,,
Total,,,27.99,45.43,32.11,28.73,31.8,32.21,28.25,36.82,34.81,30.6,39.01,32.01,36.86,,,,,
