"WORTLEY (RESERVOIR)",,,,,,,,,,,,
Grid ref,SK308998,Long,-1.537219,Lat,53.494009,,,,,,,
Station no,3144,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,3.10,0.78,4.14,1.07,2.00,1.68,,
February,,,,,4.56,1.21,2.52,1.76,2.09,0.82,,
March,,,,,1.86,2.81,1.78,2.03,3.51,3.88,,
April,,,,,1.87,2.36,0.85,2.21,2.18,1.73,,
May,,,,,2.98,0.49,2.35,4.36,2.93,1.90,,
June,,,,,0.63,2.36,2.45,3.39,2.06,4.38,,
July,,,,,1.41,1.59,1.94,1.64,2.26,4.76,,
August,,,,,4.41,3.81,1.81,1.81,2.64,2.11,,
September,,,,,0.88,1.14,0.75,0.46,1.70,3.05,,
October,,,,,0.65,1.92,6.36,6.42,1.49,2.73,,
November,,,,,1.49,4.98,3.44,3.16,1.36,0.64,,
December,,,,,1.85,0.70,2.11,2.55,1.66,5.56,,
Total,,,,,25.69,24.15,30.50,30.86,25.88,33.24,,
Calc annual,0.00,0.00,0.00,0.00,25.69,24.15,30.50,30.86,25.88,33.24,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,,
