PAISLEY W.W ( SPRINGSIDE ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS404578,Long,-4.546839,Lat,55.787082,Elevation,532,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,10.64,4.4,8.8,6.28,4.26,4.56,10.83,8.14,5.49,9.14,6.08,9.97,6.73,1.82,2.38,0.3,7.98,9.45,10.21,5.83,6.59,4.36,5.22,3.95,7.37,4.89,5.15,2.52,9.16,1.37,3.23,1.78,5.77,7.91,7.57,3.7,7.28,11.1,5.33,4.47,7.81,4.36,7.4,7.42,5.39,8.32,4.83,4.7,5.35,5.39,10,4.9,7.51,6.71,7.89,12.97,6.17,7.84,7.48,7.58,9.41,9.28,14.09,2.74,9.98,7.92,12.08,6,7.35,3.24,5.03,6.5,8.48,5.33,3.01,0.96,7.7,6.15,7.15,3.57,8.26,5.77,8.27,7.99,4.37,6.22,5.39,3.7,5.63,3.11,3.82,6.11,6.14,2.21,2.96
February,,,,,,,6.13,4.37,7.8,6,4.12,6.61,4.43,1.39,2.03,2.41,6.2,6.3,4.56,3.5,8.05,4.94,6.91,5.8,7.73,6.74,2.7,4.9,1.5,4.06,1.19,1.72,3.03,6.15,13.16,0.91,4.07,4.56,4.54,3.36,2.07,1.99,1.55,9.83,4.13,4.19,3.05,4.78,4.52,4.68,7.05,11.95,5.45,5.61,5.96,8.62,6.94,1.3,9.94,1.14,11.25,3.21,6.88,5.98,1.8,6.84,7.29,4.26,7.52,3.63,0.5,7.18,0.04,5.15,0.94,6.75,2.77,6.47,3.52,7.66,2.18,4.3,2.38,7.31,2.7,9.47,4.6,0.38,5.74,6.79,5.22,4.1,3.08,3.13,5.17,3.93,1.92,2.86,4.81,2.75,5.33
March,,,,,,,2.41,1.23,6.07,1.22,1.45,4.26,4.9,2.73,5.7,2.43,6.21,3.13,3.47,6.06,3.69,6.14,6.58,0.44,4.35,4.91,5.01,2.43,5.73,2.6,4.56,3.43,1.38,2.29,4.86,5.28,6.82,6.01,2.51,5.16,0.24,3.2,5.41,9.34,2.97,6.67,4.49,6.97,5.16,2.41,4.94,2.89,7.4,7.51,6.49,3.7,1.6,2.91,2.6,4.42,8.3,14.13,3.07,3.47,1.05,2.05,7.12,5.3,5.99,2.1,4.82,1.63,2.93,4.36,3.45,2.5,3.78,1.46,4.91,3.83,5.94,3.56,3.7,3.04,0.92,4.5,4.1,4.43,5.22,3.12,3.85,4.58,4.93,1.16,2.95,1.94,3.19,3.7,1.48,3.55,2.51
April,,,,,,,1.95,6.63,3.57,2.53,2.32,4.28,1.59,0.36,2.31,2.4,2.11,4.47,3.48,2.28,5.97,1.35,3.28,4.37,2.21,3.61,2.28,3.51,3.03,3.78,2.23,1.81,1.42,2.06,2.63,4.27,2.76,3.27,3.58,5.52,3.22,4.68,1.3,2.53,6.82,4.06,3.24,3.21,3.36,7.59,5.94,4.16,4.91,5.45,4.51,4.43,5.77,2.12,1.28,3.5,2.76,2.21,3.09,5.03,3.57,9.85,3.83,5.23,2.24,1.76,2.31,2.73,6,3.74,3.95,3.44,1.65,2.61,1.19,3.23,2.75,1.97,2.88,4.69,3.67,2.68,2.94,6.72,3.85,7.45,4.18,3.18,2.92,2.34,2.95,4.27,1.79,3.37,1.86,3.94,5.49
May,,,,,,,2.12,2.9,3.8,1.22,3.94,1.17,4.02,3.06,2.6,3.1,0.92,2.92,3.04,2.74,1.86,3.66,3.75,3.93,4.62,2.6,3.91,1.61,4.71,3.92,3.66,2.37,5.75,3.33,3.42,0.12,0.72,3.08,1.98,4.18,3.82,2.57,2.79,3.94,3.66,2.59,7.14,4.58,4.43,2.01,3.64,4.59,1.84,5.64,2.8,1.37,5.68,4.03,2.67,1.23,7.86,3.36,6.81,2.56,6.22,9.54,4.17,3.38,2.42,5.53,3.46,5.67,3.79,3.39,3.58,0.73,1.69,1.86,5.04,1.49,1.45,3.33,3.77,4.2,5.58,5.76,2.01,5.32,1.9,3.25,1.6,2.01,1.6,2.41,3.41,4.68,3.45,3.16,4.82,1.33,2.47
June,,,,,,,2.75,2.35,2.11,2.18,1.94,4.6,7.84,1.84,1.69,5.15,5.55,5.76,3.28,7.64,3.06,4.11,5.44,2.88,1.68,2.07,1.83,1.32,3.28,0.73,6.95,1.19,5.02,2.7,3.82,2.57,4.69,8.77,2.99,2.59,3.26,3.64,1.73,3.21,2.51,1.75,2.35,7.15,4.07,5.09,2.09,3.77,6.45,4.67,1.01,3.11,3.29,4.77,2.17,6.96,4.03,0.72,3.08,1.67,3.63,1.18,3.98,5.86,6.75,4.27,3.53,7.9,2.15,2.81,3.06,4.97,2.21,4.09,7.09,2.56,1.13,1.23,2.51,4.64,5.14,4.22,4.06,4.72,5.91,1.01,2.97,2.64,4.07,1.93,4.7,3.99,2.81,3.06,3.19,3.8,3.39
July,,,,,,,4.05,4.68,1.8,3.56,3.47,4.31,4.18,7.03,4.78,1.31,4.18,4.73,0.6,5.04,4.04,4.98,4.42,3.3,5.52,3.4,4.33,3.98,6.03,2.81,4.81,1.51,2.9,3.51,2.81,5.33,5.19,3.8,2.12,4.14,5.06,2.16,4.83,4.87,3.75,5.05,2.83,3.43,4.22,5.46,6.04,3.59,3.4,1.35,2.05,6.9,4.49,1.48,3.71,1.57,5.53,5.68,4.44,6.51,4.74,2.68,5.6,5.89,5.06,6.08,4.8,6.08,4.66,4.71,3.34,2.56,6.85,5.84,5.24,5.93,3.62,3.89,4.04,3.44,4.43,5.2,4.74,3.89,5.07,1.96,7.04,5.06,3.99,7.18,4.45,1.72,4.83,5.96,5.52,6.11,4.51
August,,,,,,,5.3,5.14,7.74,1.14,1.42,3.68,4.55,6.28,6.74,6.02,6.4,8.49,3.9,6.49,0.83,6.46,3.61,8.76,4.63,5.19,3.01,4.22,4.56,6.7,3.89,6.77,10.66,4.56,6.27,6.72,2.86,7.69,6.8,2.19,6.8,7.48,3.8,10.53,6.51,6.05,6.69,7.05,3.1,3.38,11.35,4.41,4.32,2.4,6.09,2.93,4.89,5.5,3.86,4.23,7.27,7.97,4.29,8.59,5.81,5.53,5.6,7.23,6.66,8.98,6.25,2.51,3.23,4.77,5.4,2.38,4.33,3.96,3.07,1.75,2.48,5.46,7.14,7.45,4.47,2.81,3.42,0.06,7.93,5.67,6.08,6.33,5.6,3.7,7.11,1.29,6.64,6.02,4.97,1.49,4.55
September,,,,,,,7.15,5.84,2.2,8.84,4.72,2.07,8.91,8.12,7.13,6.48,3.26,2.37,8.5,9.1,3.97,3.44,4.85,4.48,5.09,10.01,7.54,5.79,1.71,2.14,9.16,7.86,8.74,4.07,0.14,2.36,5.87,4.68,7.16,5.8,6.15,4.74,4.17,5.83,6.66,4.45,3.26,2.34,10.13,4.68,2.37,4.77,4.16,2.98,3.62,1.87,2.51,6.15,9.98,6.28,4.25,4.15,3.95,10.77,7.07,4.3,4.12,7.45,6.09,2.36,4.51,1.91,7.77,0.81,7.4,7.47,5.02,4.23,5.11,2.31,5.14,2.43,6.58,4.64,6.6,6.93,10.43,6.15,7.9,3.15,12.05,4.14,4.04,7.41,8,5.57,5.11,3.92,5.99,1.55,4.12
October,,,,,,,4.55,5.2,7.03,2.17,6.44,3.55,4.27,6.91,11.8,6.35,8.49,8.92,8.55,5,0.9,3.08,5.45,8.33,7.13,4.13,5.1,2.86,2.78,5.13,7.74,6.78,5.26,8.79,6.43,4.85,4.49,3.08,5.58,5.69,7.78,6.3,4.25,9.88,3.78,4.74,4.24,11.78,2.77,9.97,2.87,5.34,7.73,3.76,2.79,3.31,10.73,12.74,10.48,1.82,2.16,6.71,4.08,9.37,4.55,6.52,9.66,8.34,11.61,8.83,10.54,6.25,9.09,3.21,9.67,12.56,8.41,3.6,10.8,2.6,6.18,5.48,8.15,11.03,7.23,8.01,0.69,3.36,9.23,7.77,5.74,1.45,6.1,5.05,12,3.5,3.88,7.34,5.37,6.96,3.09
