WANLOCKHEAD DUMFRIES - Reid,,,,,,,,,,,,,,,,,,,,
Grid ref,NS873130,Long,-3.7810588,Lat,55.397954,Elevation,1400,ft,,,,,,,,,,,,
Station no,RR1253,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,2,5.1,4.65,5.95,12.3,10.7,,,,,,,,,
February,,,,,,0,6.55,3.6,1.3,6.55,8.25,,,,,,,,,
March,,,,,,3.45,0.1,6.6,3.25,9,8,,,,,,,,,
April,,,,,,2.5,4.1,3.9,2.05,4,2.05,,,,,,,,,
May,,,,,,2.15,2.65,2.3,6.9,0.5,3.85,,,,,,,,,
June,,,,,,5.3,8,3.6,3.65,3.45,7.8,,,,,,,,,
July,,,,,,5.1,5.7,4.3,5.75,4.2,1.9,,,,,,,,,
August,,,,,,7.45,8.15,2.9,3.45,6.1,6.45,,,,,,,,,
September,,,,,,1.4,4.9,6.75,5.85,6.3,3.1,,,,,,,,,
October,,,,,,9.25,5.15,4.85,7.85,5.15,12.15,,,,,,,,,
November,,,,,,3.5,2.9,5.55,3.55,5.85,3.6,,,,,,,,,
December,,,,,,5.55,11.5,8.9,8.15,3.9,4.85,,,,,,,,,
Total,,,,,,47.65,64.8,57.9,57.7,67.3,72.7,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ERROR_TYRain_1850-1859_H_pt1-page-056.csv March 1858 = 3.25,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_07_pt1-page-029.csv,,,,,,,,,,,,,,,,,,,,
