DETLING-POLLHILL-FIELDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ799603,Long,0.5799434,Lat,51.313371,Elevation,553,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,365/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,1.44,2.86,3.29,0.73,3.16,1.05,1.55,3.15,4.31,3.27,2.19,2.76,1.35,2.87,2.28,2.69,2.19,3.42,1.04,3.12,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,1.33,1.63,0.72,2.84,3.65,4.25,0.76,0.96,2.26,0.55,0.92,2.17,3.95,1.22,3.53,2.6,3.8,1.25,0.61,0.87,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,2.38,3.47,1.98,5.71,0.98,4.52,1.98,0.97,3.42,1.11,1.48,1.98,2.49,1.42,1.08,0.64,3.18,1.83,0.12,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,2.15,0.06,3.06,1.2,1.32,1.54,2.21,2.03,3.52,4.09,1.32,2.27,1.87,4.32,2.38,5.26,1.7,2.54,1.04,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,1.12,1.23,0.96,1.33,4.29,1.72,2.24,1.58,0.35,0.89,1.69,0.88,3.65,3.1,2.8,1.49,0.97,2.46,1.37,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,2.52,4.23,0.8,1.05,1.17,2.34,1.56,0.81,1.36,1.51,0.28,1.9,0.87,1.67,0.35,3.29,3.82,3.08,1.09,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,0.55,1.32,2.96,1.32,3.56,1.2,6.21,3.8,2.7,3.29,0.47,3.29,0.91,3.47,3.32,2.21,4.06,1.73,,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,0.95,5.55,1.54,0.9,2.96,2.64,6.31,1.16,2.49,1.5,0.99,2.41,1.31,3.4,1.77,1.59,4.53,2.2,2.62,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,1.59,3.19,1.77,0.81,2.9,0.97,1.07,4.99,1.19,3.83,1.28,3.47,1.84,2.43,2.35,0.83,4.48,0.51,0.94,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,5.71,2.77,4.55,2.69,1.48,3.34,4.21,2.64,0.92,1.3,0.84,1.96,6.34,4.83,3.95,2.75,1.67,4.66,3.92,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
