THORNTON IN CRAVEN NR SKIPTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD908486,Long,-2.1416112,Lat,53.933439,Elevation,456,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,7.56,2.22,2.7,6.11,3.95,4.34,3.36,4.56,1.39,5.95,6.2,4,5.65,2.32,5.68,4.93,0.76,0.61,0.6,4.56,5.99,6.88,2.3,5.54,2.04,1.68,1.63
February,,,,2.37,2.79,2.33,5.63,4.48,3.44,8.13,1.15,3.65,3.91,0.7,1.64,1.18,5.41,4,1.58,2.96,3.17,4.41,3.56,1.97,3.43,3.03,0.63,1.08,0.83,2.32
March,,,,1.44,3.21,1.86,1.31,1.33,4.58,1.54,2.52,2.14,3.4,2.47,4.91,1.05,5.26,3.47,2.69,2.3,2.69,4.73,4.86,1.26,2.46,2.33,3.91,1.33,2.57,2.51
April,,,,2.45,1.35,1.2,0.91,4.69,1.98,2.07,1.77,3.5,3.22,0.52,2.14,1.47,2.38,2.76,1.67,1.75,1.86,1.94,3.77,2.21,1.02,1.26,3.28,1.27,1.65,2.35
May,,,,2.91,1.87,3.8,1.12,2.11,0.82,4.19,1.73,1.7,2.05,1.87,1.48,3.08,0.74,2.33,4.98,1.12,2.78,3.58,1.73,0.79,2.26,2.08,3.91,2.14,1.04,2.58
June,,,,4.71,3.14,0.72,4.27,2.09,0.27,1.44,3.11,3.35,4.99,1.66,0.99,3.88,3.63,2.11,3.34,3.92,3.98,2.54,5.29,4.65,0.43,2.8,1.43,0.19,1.75,0.65
July,,,,1.44,1.08,2.15,4.05,3.13,0.74,0.94,0.75,6.1,2.97,4.47,3.2,5.81,3.25,4.98,1.76,4.55,4.37,5.44,5.67,3.61,4.56,1.51,4.33,1.98,5.1,3.02
August,,,,4.75,2.42,4.93,4.44,2.65,3.44,2.48,1.75,2.17,4.48,3.58,6.31,3.4,2.75,5.82,6.55,5.2,1.69,4.66,3.64,2.43,2.52,1.36,1.88,2.14,3.6,5.39
September,,,,6.3,3.39,0.82,7.57,2.81,2.76,7.67,2.93,3.91,6.78,2.76,5.18,4.76,4.64,4.24,3.96,2.14,3.15,2.47,2.59,6.89,2,4.75,3.85,4.97,0.94,1.82
October,,,,5.99,2.47,5.16,2.3,3.78,5.19,2.68,8.73,4.91,5.28,5.62,5.23,3.29,2.95,6.33,4.73,2.24,2.54,3.22,3.9,5.91,2.44,5.14,5.13,2.31,1.74,4.02
November,,,,4.44,2.77,3.36,6.28,2.14,4,5.36,3.04,1.47,5.34,2.89,2.71,5.18,3.34,6.31,2.98,0.98,4.94,5.91,6.43,4.52,1.69,2.37,3.6,2.24,5.84,1.68
December,,,,4.02,2.42,1.56,6.86,2.99,8.93,5.77,2.79,2.8,2.74,1.95,3.17,2.33,5.5,4.07,2.02,3.03,5.99,4.31,3.81,2.87,6.3,1.81,4.98,2.99,2.56,2.38
Total,,,,48.38,29.13,30.59,50.85,36.15,40.49,45.63,34.83,37.09,51.11,34.69,40.96,41.08,42.17,52.1,41.19,30.95,37.77,43.81,49.81,43.1,35.99,30.74,42.47,24.68,29.3,30.35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Observer Thomas Wilson was grocer, chemist and druggist in the village",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR distance from church as per record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
