SWANSEA-SKETTY-RHYDYRHELYG,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS620921,Long,-3.994372,Lat,51.61077,Elevation,124,ft,,,,,,,,,,,,,
Station no,4037,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,7.37,6.78,4.79,3.48,6.05,4.18,8.56,5.76,11.41,3.35,8.43,5.51,6.29,3.25,,,,,,,
February,2.05,0.13,5.58,8.93,0.6,6.86,5.33,4.48,6.24,1.89,0.82,5.15,0.01,4.98,,,,,,,
March,6.06,4.67,4.01,2.56,2.47,1,0.91,4.69,4.45,1.77,2.98,1.17,2.48,3.11,,,,,,,
April,6.45,1.28,2.87,3.59,3.8,3.94,2.46,1.99,1.15,1.14,2.7,3.33,3.3,2.63,,,,,,,
May,3.65,2.08,2.33,3,3.36,5.69,2.82,2.15,0.77,3.68,2.48,4.69,5.06,1.98,,,,,,,
June,3.91,0.18,1.6,1.07,2.51,0,2.46,4.77,5.38,2.51,2.35,4.62,2.73,2.5,,,,,,,
July,7.58,2.6,6.33,3.49,7.22,3.19,2.43,4.1,3.9,4.15,4.66,6.45,4,4.24,,,,,,,
August,2.35,5.71,4.56,5.67,6.23,7.05,5.22,6.79,3.92,3.68,6.94,3.96,1.2,1.64,,,,,,,
September,5.25,2.95,5.32,4.09,6.4,5.32,1.74,7.16,1.46,1.07,7.1,3.01,7.04,1.9,,,,,,,
October,4.98,2.71,1.74,6.82,6.12,6.5,4.28,3.61,10.04,7.33,7.84,1.94,9.79,8.47,,,,,,,
November,3.43,3.68,2.76,5.15,4.35,4.52,10.78,5.79,7.3,14.86,5.85,9.98,3.6,1.51,,,,,,,
December,5.68,3.94,6.33,5.3,9.29,5.01,0.8,3.75,5.99,9.75,7.8,3.32,4.14,1.92,,,,,,,
Total,58.76,36.71,48.22,53.15,58.4,53.26,47.79,55.04,62.01,55.18,59.95,53.13,49.64,38.13,,,,,,,
