CRAIGIEBUCKLER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ903045,Long,-2.161871,Lat,57.131313,Elevation,220,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5642/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,3.34,1.9,2.11,1.9,2.07,5.82,6.48,2.68,4.55,1.76,3.67,4.74,3.55,1.81,5.23,1.61,5.62,4.5,1.69,2.38,4.35,2.78,1.35,1.28,1.57,4.22,2.81,4.58,2.95,4.33
February,2.74,0.41,3.7,0.66,1.72,2.35,2.86,1.18,3.08,2.82,5.23,4.38,1.35,2.1,2.67,1.97,2.98,1.31,1.32,3.38,3.49,1.33,1.26,2.75,3.41,2.2,2.39,4.38,0.28,3.53
March,1.07,4.44,3.05,1.36,2.36,1.68,3.48,0.65,2.35,3.08,2.24,1.31,0.78,1.77,0.81,1.98,5.5,0.81,3.01,3.13,3.3,4.49,0.32,2.55,2.36,1.5,2.42,5.08,1.48,1.55
April,1.76,3.71,2.86,7.16,4.84,0.75,1.57,0.85,1.02,2.24,2.81,1.87,1.74,2.9,1.47,0.46,2.43,1.34,0.84,2.52,3.13,1.44,2.68,1.63,0.9,1.55,1.4,1.64,2.94,1.91
May,4.32,3.32,1.03,3.91,1.68,1.38,2.07,3.06,1.65,1.69,2.32,3.39,4.65,3.41,4.1,2.95,3.45,3.29,1.82,1.37,1.6,2.81,2.81,4.33,3.73,0.45,1.27,3.49,1.78,0.89
June,3.6,1.2,0.93,0.99,4.77,1.09,1.25,3.78,1.33,0.81,0.94,1.33,1.95,3.25,2.67,3.07,1.43,5,1.84,1.89,2.32,3.11,2.78,2.59,1.66,1.61,2.27,2,2.76,1.86
July,3.12,3.21,4.21,1.7,2.5,5.17,4.18,4.57,5.55,9.36,3.25,2.12,1.13,2.52,3.32,5.05,1.66,2.64,2.7,4.6,5.25,2.01,4.24,3.56,1.12,5.59,7.66,6.18,1.88,4.12
August,2.16,2.15,1.49,4.89,2.27,1.65,3.01,1.44,1.41,2.01,5.55,3.12,4.78,1.11,4.32,3.45,0.01,4.49,5.26,2.86,4.6,4.68,2.82,3.5,0.44,3.62,4.54,3.51,0.59,4.72
September,1.19,3.64,1.04,3.36,4.02,3.33,1.35,4.33,2.45,2.45,0.81,3.47,3.31,2.6,2.79,4.45,2.26,2.05,2.33,6.61,1.48,1.94,4.5,1.78,1.91,5.38,2.03,2.88,0.76,3.11
October,1.5,7.71,5.74,4.02,4.09,1.4,4.12,3.44,3.56,3.68,6.01,4.22,2.43,4.48,5.03,0.66,2.32,3.57,3.68,2.26,0.8,3.24,1.8,5.53,5.52,2.8,1.32,1.94,4.05,8.68
November,4.98,1.75,4.05,2.86,5.07,1.91,1.91,3.24,3.97,7.58,5.96,0.96,2.39,3.19,1.86,7.44,3.45,0.99,5.1,3.69,8.56,3.73,2.48,5.84,2.73,1.73,1.75,0.68,4.91,5.77
December,1.62,2.03,2.41,5.26,3.89,2.08,5.66,4.35,2.14,3.42,1.18,2.44,1.37,4.83,5.79,3.68,2.69,3.94,1.72,2.63,2.32,2.6,3.43,4.27,5.4,3.97,3.49,5.23,4.62,2.53
Total,31.4,35.47,32.62,38.07,39.28,28.61,37.94,33.57,33.06,40.9,39.97,33.35,29.43,33.97,40.06,36.77,33.8,33.93,31.31,37.32,41.2,34.16,30.47,39.61,30.75,34.62,33.35,41.59,29,43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5642/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,14992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,849881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
