"WHITTLEFORD SCOTS",,,,,,,,,,,,
Grid ref,TL471481,Long,0.146730,Lat,52.111665,,,,,,,
Station no,1192,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,2.02,1.58,0.99,2.65,1.06,0.61,0.70,,
February,,,,0.56,2.24,1.31,1.61,1.22,0.95,0.38,,
March,,,,1.76,1.25,2.37,1.64,0.87,1.83,2.85,,
April,,,,1.42,0.69,1.56,0.88,2.64,2.52,1.63,,
May,,,,3.35,1.47,1.34,1.11,2.83,0.99,1.34,,
June,,,,4.32,1.06,3.21,2.90,1.82,1.14,3.06,,
July,,,,3.74,4.36,1.23,1.00,1.57,2.83,3.06,,
August,,,,2.74,1.68,3.08,1.08,2.48,1.92,2.74,,
September,,,,2.09,1.34,1.81,0.75,-999.00,1.42,1.78,,
October,,,,4.85,1.04,1.29,3.40,2.54,1.16,3.56,,
November,,,,2.01,1.16,1.86,3.31,2.16,0.87,0.56,,
December,,,,1.24,1.70,0.66,2.03,2.80,1.75,2.90,,
Total,,,,30.10,19.57,20.71,22.36,22.54,17.99,24.56,,
Calc annual,0.00,0.00,0.00,30.10,19.57,20.71,22.36,21.99,17.99,24.56,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.55,-0.00,0.00,,
