HEADINGLEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE280360,Long,-1.5747,Lat,53.82,Elevation,282,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839
January,,,,,,,,,,,1.3,1.59,0.76,3.01,0.54,1.3,0.35,1.54,3.11,0.86,1.59,0.75,1.19,0.47,6.61,2.63,2.02,2.02,2.02,1.1
February,,,,,,,,,,8.88,3.05,0.18,2.45,1.03,0.83,0.52,2.51,0.74,0.57,1.45,1.62,1.6,0.24,3.31,2.65,4.11,3.51,5.16,2.13,
March,,,,,,,,,,2.57,0.74,2.94,2.71,0.79,1.81,1.17,0.6,2.85,1.4,0.19,0.48,2.27,1.13,2,2.31,4.85,2.02,1.21,1.9,0.9
April,,,,,,,,,,2.56,1.91,2.22,1.9,1.24,1.2,1.03,2.17,0.59,2.6,3.5,2.02,1.48,3.03,1.8,1.98,3.62,2.1,2.54,2.86,1.66
May,,,,,,,,,,1.36,3.21,2.16,2.83,1.32,0.86,3.64,0.77,1.98,1.68,0.5,3.41,2.65,1.19,1.83,1.97,3.14,1.18,1.07,2.78,1.32
June,,,,,,,,,,2.78,0.65,1.17,0.22,1.03,1.8,1.21,0.71,1.41,0.75,2.15,4.64,2.34,2.88,3.37,1.55,3.03,3.37,2.02,3.68,5.43
July,,,,,,,,,,,2.4,1.19,5.18,4.18,0.73,0.56,1.39,1.3,7.77,5.46,4.82,3.76,1.8,1.33,4.07,0.78,3.3,3.93,3.34,
August,,,,,,,,,,4.21,1.87,2.45,1.95,3.7,1.37,2.05,1.92,3.95,2.12,6.06,2.22,2.08,3.59,2.13,2.02,0.97,2.02,1.1,3.28,
September,,,,,,,,,,3.19,0.81,3.95,0.49,2.09,3.73,1.18,3.98,1.14,2.52,3.07,4.85,2.64,0.31,2.02,2.68,2.78,2.02,3.57,-999,
October,,,,,,,,,,7.1,2,2.13,2.43,2.67,5.97,1.48,1.54,6.87,1.32,1.18,0.49,3.17,2.08,2.02,0.88,2.02,2.45,2.02,-999,
November,,,,,,,,,,3.69,1.53,3.59,3.26,1.49,3.66,3.82,1.58,1.97,2.92,1.24,3.08,3.79,3.11,3.98,2.24,4.04,6.58,2.96,1.9,
December,,,,,,,,,,4.23,0.93,5.59,1.01,3.35,5.5,3.03,1.49,2.55,2.26,0.58,2.33,2.56,3.71,6.46,2.18,0.97,3.93,5.88,0.92,
Total,,,,,,,,,,,20.4,29.16,25.19,25.9,28,20.99,19.01,26.89,29.02,26.24,31.55,29.09,24.26,30.72,31.14,32.94,34.5,33.48,29.64,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819 hand-written on 1820s TYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839 total estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No information to help locate so NGR for St Michael's Vicarage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
