"ASHTON-UNDER-LYNE (KNOTT H RES)",,,,,,,,,,,,
Grid ref,SD957013,Long,-2.066305,Lat,53.508368,,,,,,,
Station no,2835,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,4.40,1.98,3.10,2.11,,
February,,,,,,,3.27,1.81,3.04,2.25,,
March,,,,,,,3.44,3.32,2.65,3.02,,
April,,,,,,,2.47,2.40,2.57,3.47,,
May,,,,,,,4.18,4.15,2.74,2.23,,
June,,,,,,,1.49,6.55,2.16,2.67,,
July,,,,,,,2.34,2.92,5.57,6.65,,
August,,,,,,,3.59,4.34,3.25,3.43,,
September,,,,,,,1.62,1.06,4.32,2.77,,
October,,,,,,,6.04,5.48,1.45,6.37,,
November,,,,,,,4.03,3.13,2.46,1.50,,
December,,,,,,,4.02,3.26,3.10,6.36,,
Total,,24.70,,42.50,31.76,,40.89,40.40,36.41,42.83,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,40.89,40.40,36.41,42.83,,
Difference,NaN,24.70,NaN,42.50,31.76,NaN,0.00,-0.00,-0.00,0.00,,
