ASHTON-UNDER-LYME-KNOTT-HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD958014,Long,-2.064799,Lat,53.509268,Elevation,605,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,1.4,2.6,3.9,3.6,2.1,2,2.6,1,3.3,3,0.2,3,1.9,5.5,3.5,1.5,0.3,0.7,4.2,4.2,5.4,2.1,4.5,1,,,,,,,,,,,,,,,,,,,4.4,1.98,3.1,2.11,4.73,1.36,3.63,3.46,3.47,5.94,3.54,3.57,2.93,5.05,4.96,6.45,3.28,3.6,3.34,3.14,3.74,4.93,9.69,2.11,4.78,5.31,4.42,2.55,2.7,2.09,3.76,3.5,4.36,5.61,1.42,1.62,3.9,5.3,6.39,4.2,5.35,3.01,9.94,2.38,2.84,4.42,4.7,2.28,4.24,2.9,5.57,3.61,3.95,4.02,5.25,,
February,,,,,2.9,2,3,3.1,2.8,4.2,1,2.4,2.4,0.6,1.5,0.9,4.4,4.4,1.4,2.4,2.2,5,2.9,1.4,2,2.8,0.4,0.8,,,,,,,,,,,,,,,,,,,3.27,1.81,3.04,2.25,3.84,4.18,1.46,1.38,2.13,3.56,5.22,0.95,5.69,1.35,4.26,0.42,4.69,5.16,1.32,5.95,3.4,1.68,5.18,0.98,0.47,5.15,0.39,3.5,0.35,4.31,2.86,6.37,1.54,4.23,2.48,4.62,1.77,2.8,3.04,4.72,6.71,1.03,3,2.44,4.84,3.02,1.39,3.44,2.97,1.97,1.57,2.88,5.79,0.46,2.31,,
March,,,,,2.7,1,1.11,1.7,3.3,1.3,2,1,6.4,1.9,4.6,0.3,3.6,2.1,2.4,1.6,2.5,4.5,2.5,0.5,1.8,1.8,2.4,1.4,,,,,,,,,,,,,,,,,,,3.44,3.32,2.65,3.02,0.66,2.2,4.98,4.31,6.02,1.71,2.72,2.27,1.62,6.84,3.11,3.27,2.62,2.13,1.47,1.96,1.52,4.5,2.05,1.35,3.06,0.37,2.48,2.56,2.6,2.03,2.3,2.05,1.24,2.65,3.57,4.49,2.58,1.61,1.01,1.54,1.27,6.04,1.06,1.85,2.23,4.98,2.83,2.64,2.73,2.35,1.42,3.55,2.43,1.89,0.8,,
April,,,,,2.9,1.7,0.9,3.9,1.4,1.2,1.7,3.2,3.6,0.1,1.1,1,1.8,1.7,1.2,1.1,1.2,0.9,3.7,1.7,1.5,1.5,1.8,1.1,,,,,,,,,,,,,,,,,,,2.47,2.4,2.57,3.47,3.64,2.53,0.89,4.22,1.54,1.59,2.68,1.84,1.44,2.78,4.96,1.59,2.74,3.57,1.87,2.37,1.97,3.77,1.08,1.64,2.9,4.13,3.66,1.81,2.2,3.12,1.03,3.1,0.51,2.34,2.84,2.19,2.07,2.65,3.16,2.71,2.13,3.42,1.18,3.83,3.82,2.87,3.91,2.69,1.03,2.24,2.95,0.83,1.33,3.27,2.3,,
May,,,,,3,1.9,1.5,2.7,1,3,1,2.2,2.6,1.8,1.9,1.6,0.6,2.8,2.6,2.1,2,3.4,1.2,1.3,1.9,1.8,5.6,2.1,,,,,,,,,,,,,,,,,,,4.18,4.15,2.74,2.23,3.45,1.81,2.88,2.97,2.38,1.72,2.79,3.33,2.34,2.19,5.75,2.5,1.63,3.9,6.81,4.09,4.39,1.58,1.31,3.04,2.55,2.68,4.8,2.07,2.61,0.75,0.74,2.45,3.9,2.33,2.86,2.08,4.85,2.71,3.25,4.26,1.4,2.97,1.22,3.07,1.48,1.74,2.39,2.62,3.62,3.78,1.42,1.37,3.51,1.25,2.02,,
June,,,,,2.4,0.8,4.5,1.4,,1,1.1,3.8,5.6,2.3,0.3,2.4,1.4,2.1,3,4.1,2,1.6,6.6,4.6,0.4,3.5,2.1,0.6,,,,,,,,,,,,,,,,,,,1.49,6.55,2.16,2.67,3.6,3.88,4.39,2.43,3.72,2.05,4.21,3.06,2.07,2.23,3.77,0.45,3.39,1.33,3.85,0.08,3.68,4.83,7.1,1.85,4.05,6.98,0.48,2.74,1.77,3.47,3.28,1.73,4.41,3.37,1.12,1.92,1.86,4.2,3.35,5.5,3.78,2.79,5.01,1.19,3.3,1.3,2.92,4.21,4.16,3.16,3.04,2.6,5.42,2.78,1.95,,
July,,,,,1.7,1.6,3.1,5,,0.9,2,5,5.8,3.9,1.2,3.6,2.5,3.8,0.2,4.4,6.2,2.1,5.7,2.3,3.8,1.6,3.8,1.4,,,,,,,,,,,,,,,,,,,2.34,2.92,5.57,6.65,4.89,0.54,4.31,1.22,5.57,5.35,1.86,1.54,5.09,2.44,8.62,1.76,5.32,5.33,4.2,2.15,2.66,3.77,2.31,3.59,6.69,4.81,5.58,2.94,3.93,2.04,4.31,2.7,3.99,7.21,5.97,2.84,4.77,2.91,3.9,1.86,6.27,3.93,2.71,2.36,3.66,4.11,3.35,7.06,6.35,1.16,6.92,4.94,4.84,3.62,6.03,,
August,,,,,2.2,3.9,4,1.5,2.2,2,1.5,1,2.5,4,4,2.5,3.3,4.4,4.6,5.2,1.9,4.4,3.3,3.5,3.4,1.2,2.2,1.7,,,,,,,,,,,,,,,,,,,3.59,4.34,3.25,3.43,5.5,3.09,6.51,2.49,3.54,5.35,2.38,7.19,4.1,3.51,3.01,6.19,5.42,5.02,6.37,4,5.03,5.32,5.74,5.81,6,6.63,1.65,1.65,3.14,1.61,3.05,1.51,3.27,1.92,2.15,6.59,4.53,6.7,4.37,2.6,4.95,0.51,5.3,3.16,5.74,6.03,3.46,5.64,6.16,0.77,10.5,5.77,6.58,0.55,6.91,,
September,,,,,3.2,0.7,6,2.7,1.1,5.5,2.7,5,5.4,2,3,5,3.8,3,4.1,1.9,5,2.6,2.3,5.4,2.7,4.8,2.7,4,,,,,,,,,,,,,,,,,,,1.62,1.06,4.32,2.77,0.26,3.73,1.79,1.81,2.6,0.81,2.83,2.65,10.67,2.1,2.82,1.07,4.02,4.25,4.09,4.25,3.78,6.18,0.97,1.97,3.48,4.64,4.49,1.46,3.38,6.25,5.38,1.63,1.85,1.25,4.38,0.66,2.9,5.78,5.71,2.77,6.25,2.69,3.02,1.07,6.92,3.22,4.18,3.15,4.9,2.79,2.79,7.83,5.1,0.29,3.64,,
October,,,,,2.1,4.4,2.3,3.4,4.4,3.2,9,3.9,4.1,3.9,4.2,4.3,2.8,3,2.2,2.1,4.2,2.7,3.5,5.6,2.2,6.2,5.1,2,,,,,,,,,,,,,,,,,,,6.04,5.48,1.45,6.37,3.62,3.19,3.92,1.94,2.53,1.67,5.24,6.47,3.31,2.63,1.26,2.57,0.92,4.56,5.4,5.39,3.36,3.4,4.36,5.28,6.03,2.13,7.38,4.88,5.09,6.88,4.14,1.73,8.53,2.18,3.81,5.52,6.94,3.37,4.05,6.55,0.96,0.97,2.76,3.66,2.7,1.19,4.59,2.52,7.27,2.5,2.94,5.09,3.65,3.3,4.25,,
