BIRTLEY,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ264563,Long,-1.589852,Lat,54.900734,Elevation,87,ft,,,,,,,,,,,,
Station no,3554/8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,7.89,0.7,1.55,1.37,1.69,0.7,2.49,1.96,3.58,1.43,,,
February,,,,,,,,1.1,0.69,3.46,2.48,0.57,1.62,1.69,3.26,2.56,2.21,,,
March,,,,,,,,0.6,0.85,0.67,3.88,1.23,0.07,1.33,1.71,0.87,1.18,,,
April,,,,,,,,1.52,1.38,1.91,1.11,1.33,2.17,0.59,0.65,1.21,0.3,,,
May,,,,,,,,2.05,0.45,1.59,4.23,1.47,1.91,3.53,2,0.59,2.15,,,
June,,,,,,,,2.95,0.87,0.86,1.32,1.87,2.49,2.01,2.46,3.16,,,,
July,,,,,,,,1.01,1.88,4.36,1.53,1.06,2.19,1.69,0.9,2.84,,,,
August,,,,,,,,4.35,1.57,5.74,4.23,1.97,4.57,4.92,1.05,6.12,,,,
September,,,,,,,1.51,2.86,0.59,2.81,0.97,3.78,1.2,2.18,1.04,3.03,,,,
October,,,,,,,0.69,1.37,2.44,0.74,0.86,3.15,1.55,3.77,1.43,1.69,,,,
November,,,,,,,2.31,1.3,3.58,5.27,5.53,3.93,0.84,3.34,1.58,0.66,,,,
December,,,,,,,1.95,1.79,2.54,2.5,1.69,2.88,0.71,1.79,2.89,1.92,,,,
Total,,,,,,,,28.79,17.54,31.46,29.2,24.93,20.02,29.33,20.93,28.23,,,,
,,,,,,,,,,,,,,,,,,,,
1947 -100s transcribed originally therefore removed,,,,,,,,,,,,,,,,,,,,
