BIRTLEY,,,,,,,,,,,,
Grid ref,NZ264563,Long,-1.589852,Lat,54.900734,,,,,,,
Station no,3554/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.37,1.69,0.70,2.49,1.96,3.58,1.43,,,,,
February,2.48,0.57,1.62,1.69,3.26,2.56,2.21,,,,,
March,3.88,1.23,0.07,1.33,1.71,0.87,1.18,,,,,
April,1.11,1.33,2.17,0.59,0.65,1.21,0.30,,,,,
May,4.23,1.47,1.91,3.53,2.00,0.59,2.15,,,,,
June,1.32,1.87,2.49,2.01,2.46,3.16,,,,,,
July,1.53,1.06,2.19,1.69,0.90,2.84,,,,,,
August,4.23,1.97,4.57,4.92,1.05,6.12,,,,,,
September,0.97,3.78,1.20,2.18,1.04,3.03,,,,,,
October,0.86,3.15,1.55,3.77,1.43,1.69,,,,,,
November,5.53,3.93,0.84,3.34,1.58,0.66,,,,,,
December,1.69,2.88,0.71,1.79,2.89,1.92,,,,,,
Total,29.20,24.93,20.02,29.33,20.93,28.23,,,,,,
Calc annual,29.20,24.93,20.02,29.33,20.93,28.23,7.27,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,,
