"MOORE (UPLANDS)",,,,,,,,,,,,
Grid ref,SJ582841,Long,-2.629424,Lat,53.352123,,,,,,,
Station no,2735,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.30,2.79,1.08,2.32,1.86,3.82,1.80,2.75,2.51,4.51,,
February,1.80,0.97,1.22,2.97,1.81,0.47,1.94,4.67,0.22,1.55,,
March,4.30,1.88,1.58,2.03,1.87,1.16,2.49,1.27,1.25,1.72,,
April,1.79,2.25,2.26,0.62,1.73,3.29,0.53,0.78,3.09,1.52,,
May,2.71,2.17,1.68,2.50,2.26,0.93,1.38,3.00,2.14,2.52,,
June,0.90,1.95,1.63,3.54,3.40,1.88,1.38,4.37,2.41,2.12,,
July,2.91,1.61,4.17,3.46,0.38,5.98,3.43,4.20,3.52,3.75,,
August,3.62,1.32,3.15,3.64,1.22,8.50,3.92,2.05,0.58,3.86,,
September,2.75,2.89,2.91,3.21,2.13,2.62,5.65,2.95,0.20,3.52,,
October,0.94,3.64,1.44,5.45,1.87,2.13,2.99,2.66,2.58,3.46,,
November,7.43,2.32,2.52,4.64,1.60,1.03,1.83,1.56,4.07,5.26,,
December,4.59,3.21,0.98,3.89,3.19,2.57,2.71,3.83,5.04,2.95,,
Total,36.04,27.00,24.62,38.27,23.32,34.38,30.05,34.09,27.61,36.74,,
Calc annual,36.04,27.00,24.62,38.27,23.32,34.38,30.05,34.09,27.61,36.74,,
Difference,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
