GLOUCESTER-BELGRAVE-ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,SO834180,Long,-2.2424532,Lat,51.860334,Elevation,52,ft,,,,,,,,,,,,
Station no,RR7009,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,0.89,3.31,3.07,1.07,4.13,1.23,0.84,0.66,2.41,0.97,3.28,4.29,,,,,,
February,,,1.05,1.37,3.25,0.74,1.37,1.03,0.81,0.53,2.82,1.2,2.51,1.05,,,,,,
March,,,1.43,3.49,1.32,3.5,1.24,0.69,2.91,2.6,0.53,1.77,3.85,3.73,,,,,,
April,,,1.88,1.8,1,2.43,0.61,2.76,1.9,1.73,2,0.76,0.13,2.86,,,,,,
May,,,1.92,4.15,2.11,0.2,2.05,2.27,1.52,0.86,1.41,0.83,2.29,1.98,,,,,,
June,,,2.59,3.44,0.86,4.58,3.03,2.48,0.63,3.2,2.74,1.49,5.54,0.79,,,,,,
July,,,0.69,3.26,2.58,1.08,0.8,4.07,1.87,2.19,2,0.04,6.48,1,,,,,,
August,,,3.08,2.74,2.23,4.68,0.85,1.92,3.37,1.81,5.71,1.15,5.98,1.12,,,,,,
September,,,2.64,2.79,1.39,1.81,0.63,0.53,1.93,2.63,0.48,1.26,0.53,2.1,,,,,,
October,,,2.67,6.56,0.46,1.24,4.4,5.27,1.52,3.46,2.72,1.86,2.89,2.95,,,,,,
November,,,1.6,1.24,1.24,2.55,2.55,1.69,0.95,0.83,3.44,2.85,1.33,2.99,,,,,,
December,,,1.72,1.29,1.81,0.66,1.43,4.14,1.84,3.39,4.25,5.92,3.23,0.97,,,,,,
Total,,,22.16,35.44,21.32,24.54,23.09,28.08,20.09,23.89,30.51,20.1,38.04,25.83,,,,,,
