GLOUCESTER BELGRAVE ROAD,,,,,,,,,,,,
Grid ref,SO835181,Long,-2.241006,Lat,51.861236,,,,,,,
Station no,RR7009,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,0.89,3.31,3.07,1.07,4.13,1.23,0.84,0.66,,
February,,,1.05,1.37,3.25,0.74,1.37,1.03,0.81,0.53,,
March,,,1.43,3.49,1.32,3.50,1.24,0.69,2.91,2.60,,
April,,,1.88,1.80,1.00,2.43,0.61,2.76,1.90,1.73,,
May,,,1.92,4.15,2.11,0.20,2.05,2.27,1.52,0.86,,
June,,,2.59,3.44,0.86,4.58,3.03,2.48,0.63,3.20,,
July,,,0.69,3.26,2.58,1.08,0.80,4.07,1.87,2.19,,
August,,,3.08,2.74,2.23,4.68,0.85,1.92,3.37,1.81,,
September,,,2.64,2.79,1.39,1.81,0.63,0.53,1.93,2.63,,
October,,,2.67,6.56,0.46,1.24,4.40,5.27,1.52,3.46,,
November,,,1.60,1.24,1.24,2.55,2.55,1.69,0.95,0.83,,
December,,,1.72,1.29,1.81,0.66,1.43,4.14,1.84,3.39,,
Total,,,22.16,35.44,21.32,24.54,23.09,28.08,20.09,23.89,,
Calc annual,0.00,0.00,22.16,35.44,21.32,24.54,23.09,28.08,20.09,23.89,,
Difference,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
