MANCHESTER PLYMOUTH GROVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ857961,Long,-2.216846,Lat,53.46145,Elevation,150,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,3.19,1.31,3.79,3.15,3.19,4.09,1.77,5.16,3.49,1.56,0.74,0.54,2.59,4.42,4.8,1.74,4.79,2.03,1.6,1.31,3.3,2.38,3.18,1.57,2.51,2.64,0.75,1,1.84,,4.34,1.79,2.49,,,,,,,
February,0.75,2.74,3.01,0.41,1.46,0.64,3.81,4,1.39,3.03,2.22,5.38,2.24,1.9,2,2.42,0.66,0.57,1.1,1.99,0.3,0.27,1.66,3.38,4.49,0.36,1.79,2.39,2.17,,2.77,1.48,1.25,,,,,,,
March,2.18,1.56,2.95,2.44,3.39,0.69,3.74,2.72,1.67,1.7,2.45,3.81,2.16,1.05,2.13,2.16,2.07,1.67,1.69,3.02,3,1.59,0.93,0.65,2.76,2.93,3.89,2.61,1.26,,0.66,2.15,1.61,,,,,,,
April,2.21,3.59,3.2,0.6,0.89,0.92,2.91,1.87,1.69,1.98,1.15,1.56,3.56,1.64,0.79,1.47,1.67,1.62,1.46,2.14,0.74,1.86,1.22,0.47,1.55,1.36,1.69,2.16,2.09,,2.5,2.11,,,,,,,,
May,0.91,2.21,3.11,2.3,1.54,1.86,1.13,3.38,3.76,1.88,2.54,3.68,2.01,0.94,1.61,1.73,5.44,2.37,0.93,2.27,2.32,2.4,3.33,1.94,2.61,0.59,0.6,1.85,2.81,,1.69,1.1,3.08,,,,,,,
June,1.99,3.56,5.24,2.54,1.79,3.35,3.53,2.71,2.79,4.82,2.51,2.08,6.64,3.88,0.85,3.79,1.74,1.21,3.07,0.76,3.47,3.29,3.51,1.52,3.29,3.05,2.5,3.62,3.2,,3.29,1.8,1.04,,,,,,,
July,1.24,3.43,7.41,4.63,1.69,4.46,3.52,5.73,1.17,3.71,5.49,2.97,5.26,2.45,4.59,1.32,4.68,0.91,7.05,3.14,2.63,2.53,3.52,3.11,3.06,4.48,1.9,1.73,0.62,,2.47,3.3,2.14,,,,,,,
August,1.63,1.83,3.27,4.32,3.74,4.13,3.37,5.14,5.49,5.68,2.78,5.1,2.9,3.52,1.7,1.85,2.33,1.43,3.34,6,4.52,6.13,4.94,2.51,3.8,3.55,2.69,4.04,6,,4.73,1.56,2.78,,,,,,,
September,2.91,3.68,6.79,2.55,4.42,4.93,3.36,2.46,4.48,3.14,4.83,2.55,1.78,5.24,2.89,4.65,3.63,4.72,1.72,2.65,1.13,3,3.62,3.86,0.98,1.44,5.28,4.01,0.54,5.1,1.23,0.78,0.99,,,,,,,
October,8.73,4.3,4.61,4.32,3.6,4.72,2.65,4.13,4.18,2.31,2.46,2.73,3.18,4.97,2.37,5.46,5.86,1.81,1.76,3.11,2.38,4.85,4.48,2.98,3.73,3.46,4.34,1.76,3.62,3.06,4.77,2.82,,,,,,,,
November,2.48,1.48,3.57,2.07,4.76,4.08,3.42,5.55,2.22,1.14,3.37,2.93,5.84,3.4,1.67,2.76,2.25,1.14,4.8,1.89,5.02,2.33,2.46,2.41,1.76,2.42,1.14,4.2,1.95,1.58,2.1,3.84,,,,,,,,
December,2.1,2.43,2.76,0.76,2.59,1.14,4.65,3.26,2.44,2.4,5.46,4.08,4.54,3.03,3.71,2.44,4.24,2.23,2.34,2.3,0.37,5.71,2.08,3.57,2.79,3.69,3.56,3.72,3.27,2.68,4.28,4.61,,,,,,,,
Total,30.32,32.12,49.71,30.09,33.06,35.01,37.86,46.11,34.77,33.35,36,37.41,42.7,36.44,29.11,31.79,39.36,21.71,30.86,30.58,29.18,36.34,34.93,27.97,33.33,29.97,30.13,33.09,29.37,,34.83,27.34,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899 Jan-Aug and total all estimated so removed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
