MARK-BEECH-HORSESHOE-GREEN,,,,,,,,,,
Grid ref,TQ479424,Long,0.113772,Lat,51.161737,Elevation,483,ft,,
Station no,338/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,1.97,3.09
February,,,,,,,,,0.08,2.26
March,,,,,,,,,1.28,1.97
April,,,,,,,,,1.87,0.67
May,,,,,,,,,0.33,1.55
June,,,,,,,,,0.85,2.10 
July,,,,,,,,,1.11,3.86
August,,,,,,,,3.49,0.75,5.41
September,,,,,,,,5.01,0.12,2.1
October,,,,,,,,2.45,2.79,7.31
November,,,,,,,,1.72,3.32,5.99
December,,,,,,,,3.96,6.57,3.33
Total,,,,,,,,,21.04,39.64
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1960 Jun IDR,,,,,,,,,,
Elevation estimated from OS map,,,,,,,,,,
