LYTCHETT-MATRAVERS-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY942956,Long,-2.08261,Lat,50.76013,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1605/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,6.55,4.16,5.13,4.4,8.04,2.46,2.11,3.7,2.7,5.91,0.95,0.84,3.29,2.21,0.8,1.71,3.45,5.57,2.71,,,
February,,,,,,,,,1.83,4.58,4.11,0.23,1.25,0.43,2.35,2.67,1.96,1.12,1.56,6.19,5.25,0.6,1.47,2.56,2.25,0.16,4.69,,,
March,,,,,,,,,1.26,3.43,3.65,3.02,0.9,0.4,1.16,1.23,8.63,1.31,1.12,1.52,4.61,2.93,0.61,3.8,1.56,0.9,2.71,,,
April,,,,,,,,,2.32,1.78,2.06,2.27,0.92,1.89,0.9,2.67,2.68,1.88,1.6,2.73,3.19,1.73,2.33,,0.61,1.95,0.16,,,
May,,,,,,,,,1.48,1.2,2.37,4.12,2.93,0.5,2.42,3.54,2.61,2.44,2.27,1.93,2.42,2.36,2.75,3.64,4.69,0.55,2.58,,,
June,,,,,,,,,2.77,0.25,2.58,0.46,1,2.03,2.42,3.91,1.57,2.27,0.73,0.92,0.29,0.69,1.96,2.87,2.2,2.38,1.7,,,
July,,,,,,,,,4.65,2.94,2.06,1.04,2.23,2.82,0.9,1.23,0.83,1.49,0.66,5.42,1.17,0.69,3.16,2.9,2.72,2.98,3.54,,,
August,,,,,,,,,4.27,0.04,4.57,4.55,1.87,3.14,2.32,4.26,0.59,3.81,1.09,3.62,4.99,3.09,1.87,2.85,0.34,3.59,2.57,,,
September,,,,,,,,3.84,1.88,1.74,0.89,3.17,2.21,1.99,3.44,5.02,1.45,3.07,4.54,4.05,4.34,4.43,3.41,3.55,1.14,6.5,2.77,,,
October,,,,,,,,4.8,6.46,5.31,0.95,4.3,4.95,5.21,4.38,1.37,0.85,2.52,7.65,1.35,1.18,5,3.94,,4.3,2.72,3.54,,,
November,,,,,,,,6.57,7.19,8.64,1.96,2.51,2.05,7.71,0.94,6.13,2.64,2.07,4.25,6.14,9.9,3.8,2.04,,3.56,0.87,2.61,,,
December,,,,,,,,4.51,2.17,3.29,2.67,5.62,3.46,2.97,4.34,4.7,2.48,5.43,2.02,3.04,2.74,3.02,0.89,4.5,4.99,6.19,2.6,,,
Total,,,,,,,,,42.83,37.36,33,35.69,31.81,31.55,27.68,40.43,28.99,33.32,28.44,37.75,43.37,30.55,25.23,,31.81,34.36,32.18,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 Apr Oct-Nov Some entries adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960 Terminated Records no longer kept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
