LYTCHETT MATRAVERS SCHOOL,,,,,,,,,,,,
Grid ref,SY942955,Long,-2.083595,Lat,50.759064,,,,,,,
Station no,1605/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.29,2.21,0.80,1.71,3.45,5.57,2.71,,,,,
February,5.25,0.60,1.47,2.56,2.25,0.16,4.69,,,,,
March,4.61,2.93,0.61,3.80,1.56,0.90,2.71,,,,,
April,3.19,1.73,2.33,0.10,0.61,1.95,0.16,,,,,
May,2.42,2.36,2.75,3.64,4.69,0.55,2.58,,,,,
June,0.29,0.69,1.96,2.87,2.20,2.38,1.70,,,,,
July,1.17,0.69,3.16,2.90,2.72,2.98,3.54,,,,,
August,4.99,3.09,1.87,2.85,0.34,3.59,2.57,,,,,
September,4.34,4.43,3.41,3.55,1.14,6.50,2.77,,,,,
October,1.18,5.00,3.94,3.37,4.30,2.72,3.54,,,,,
November,9.90,3.80,2.04,6.72,3.56,0.87,2.61,,,,,
December,2.74,3.02,0.89,4.50,4.99,6.19,2.60,,,,,
Total,43.37,30.55,25.23,38.57,31.81,34.36,32.18,,,,,
Calc annual,43.37,30.55,25.23,38.57,31.81,34.36,32.18,0.00,0.00,0.00,,
Difference,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,NaN,NaN,NaN,,
