CORFE CASTLE BUCKNOWLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY947812,Long,-2.0763,Lat,50.6313,Elevation,160,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,2.27,3.8,0.28,5.23,3.99,4.23,3.23,0.26,3.64,2.25,1.41,2.16,2.85,1.33,3.03,4.14,2.56,5.03,5.44,4.12,3.21,3.91,2.09,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,5.58,2.05,2.56,1.23,1.26,1.26,0.34,1.95,2.29,1.38,1.95,2.41,1.21,2.78,0.7,0.97,1.53,3.2,4.37,2.83,1.65,2.74,2.51,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,3.89,1.29,0.35,3.14,0.66,2.3,0.45,1.5,1.59,2.57,0.9,2.41,2.86,3.72,5.73,1.71,3.47,1.21,1.39,4.44,1.41,2.27,1.86,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,3.13,2.82,3.47,1.59,1.11,2.27,0.33,0.28,3.63,2.71,2.13,2.7,1.51,0.39,2.06,0.87,1.04,0.8,2.21,1.99,3.06,0.96,0.6,5.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,0.3,3.04,2.82,0.94,2.2,1.56,3.13,2.24,2.68,1.33,1.89,1.43,3.63,1.2,3.68,2.85,1.39,2.92,1.47,2.07,2.19,4.67,1.14,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,4.12,0.55,1.13,1.69,3.72,3.38,1.96,1.03,1.93,2.82,1.44,1.13,5.77,3.41,1.38,4.55,1.26,2.01,1.89,1.28,0.67,1.57,0.33,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,3.43,2.21,2.14,3.13,3.83,2.44,1.01,1.6,0.66,1.34,3.89,1.46,1.5,4.61,1.81,1.05,0.32,2,1,4.66,0.55,0.84,2.09,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,4.81,0.74,3.07,1.47,3.56,2.81,0.71,1.2,3.47,1.93,1.75,1.61,4.45,1.06,1.46,3.49,1.25,2.76,2.36,1.89,4.1,0.76,0.52,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,3.16,5.12,3.68,0.09,7.93,3.19,0.82,1.67,2.89,2.73,3.18,4.21,3.16,2.87,1.37,4.33,2.15,0,8.32,2.02,3.54,5.24,1.99,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,4.85,4.25,1.2,3.59,5.61,6.72,4.61,5.4,4.37,5.45,3.65,3.49,2.16,2.21,5.43,4.79,1.78,8.59,2.39,5.24,2.94,1.44,3.74,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
