"SPELLBROOK LOCK",,,,,,,,,,,,
Grid ref,TL490176,Long,0.161226,Lat,51.837136,,,,,,,
Station no,1238/9/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.40,1.70,0.94,0.94,2.10,3.09,1.09,1.89,2.29,1.91,,
February,4.46,0.55,1.82,2.03,1.49,0.36,2.31,2.75,0.05,1.41,,
March,2.90,2.65,0.34,1.98,1.36,0.64,1.31,1.11,1.72,1.00,,
April,2.79,1.18,2.74,0.22,0.37,1.09,0.35,1.28,2.16,0.49,,
May,2.51,1.03,1.31,1.56,4.48,0.50,0.55,2.55,0.81,1.41,,
June,0.97,2.17,1.93,1.71,2.84,1.66,1.74,5.93,1.01,1.78,,
July,0.78,0.56,3.13,2.39,0.65,3.59,2.93,2.89,1.93,2.86,,
August,4.52,3.24,1.77,2.40,1.14,4.74,1.55,3.18,0.60,4.20,,
September,3.07,2.33,1.37,1.40,1.61,1.70,3.08,3.93,0.07,5.91,,
October,0.76,2.28,2.88,2.16,3.62,1.62,1.96,2.37,1.81,6.24,,
November,4.41,3.91,1.17,3.62,0.71,0.87,2.24,1.87,2.44,2.95,,
December,1.73,2.35,0.48,2.15,1.80,2.28,2.03,2.84,3.83,2.72,,
Total,31.30,23.95,19.88,22.56,22.17,22.14,21.14,32.59,18.72,32.88,,
Calc annual,31.30,23.95,19.88,22.56,22.17,22.14,21.14,32.59,18.72,32.88,,
Difference,-0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
