SOUTHCHURCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ898359,Long,0.736,Lat,51.5402,Elevation,75,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,0.85,1.44,1.83,0.95,1.16,,3,1.46,1.48,2.35,1.6,2.51,1.54,1.55,1.8,1.58,2.22,2.7,2.12,2.43,1.55,2.12,3.33,0.74,0.98,2.22,0.8,1.54,2.34,0.87,4.16,3.87,2.35,3.65,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,2.2,1.98,1.87,1.13,2.3,,1.16,1,3.14,2.34,1.21,1.02,1.56,3,2.43,0.67,0.9,1.22,1.96,1.4,1.18,1.06,0.15,1.66,0.79,1.63,1.5,0.8,1.05,1.4,2.05,4.2,1.3,0.7,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,2.21,2.88,0.98,1.36,1.92,,1.12,1.97,0.54,2.67,3.02,0.79,0.97,2.9,0.6,0.32,4.01,0.25,1.23,0.22,1.2,0.67,1.17,1.24,1.47,2.05,2.3,4.41,0.79,2.68,1.98,2.27,3.14,1.7,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,1.33,2.25,1.29,0.82,1.56,,1.42,0.47,1.65,0.53,1.5,3.31,0.91,4.42,2.45,1.64,2.35,0.53,3.33,0.24,0.16,1.59,1.7,1.45,2.46,1.89,0.65,1.97,0.76,0.64,0.31,3.07,1.84,1.86,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,2.79,1.91,1.44,1.19,0.68,,2.08,1.85,3.32,0.36,3.25,1.68,1.59,0.94,3.01,3.18,1.03,2.67,1.7,3.32,2.32,3.03,1.43,2.94,1.5,4.62,1.34,2.69,1.52,2.36,2.15,1.25,3.85,1,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,2.78,1.9,2.05,3.06,2.16,,2.89,1.44,1.69,2.45,1.48,1.01,1.49,2.92,0.7,0.24,0.87,5.03,1.87,1.45,1.47,1.13,1.92,0.65,1.73,4.79,1.14,2.32,3.85,2.02,1.35,2.21,2,0.41,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,0.33,1.78,1.25,1.34,2.41,,3.03,2.72,2.13,2.73,1.81,0.94,0.28,1.3,1.92,2.2,2.64,0.34,5.2,1.04,4.33,2.79,2.85,3.59,4,3.32,1.8,1.51,0.85,0.5,3.95,2.68,5.15,0.4,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,1.15,2.44,5.4,1.18,1.52,,2.84,1.44,5.02,2.49,2.53,1.86,2.53,4.74,0.77,1.72,1.65,3.25,3.08,2.34,1.18,2.3,2.7,3.2,1.73,3.77,0.73,1.83,1.26,1.77,2.71,3.37,1.7,1.91,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,2.88,5.06,1.63,1.97,2.79,,3.67,3.62,0.35,1.34,1.48,2.25,1.79,3.08,5.89,1.07,0.55,3.07,3.73,1.01,0.73,2.94,5.25,0.46,2.86,2.28,1.45,2.53,3.27,2.7,0.1,4.22,1.54,1.8,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,3.05,3.96,2.67,2.08,1.52,,6.72,1.84,4.13,4.83,1.26,3.79,2.15,4.14,4.28,1.43,3.02,4.63,4.16,3.3,4.98,2.35,3.32,1.52,4.45,1.9,0.65,3.69,2.27,1.37,6.85,0.77,2.2,2.55,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,1.09,2.59,2.01,4.01,3.01,,3.17,4.23,2.14,3.72,1.99,1.43,2.02,1.2,1.98,2.06,1.22,4.37,1.54,2.03,1.66,1.3,1.41,0.66,2.43,2.57,5.44,1.3,1.7,2.81,2.44,1.89,0.5,1.29,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,0.36,1.72,1.37,1.48,2.86,,2.27,0.79,0.67,1.06,2.34,1.98,1.73,2.33,3.2,1.42,0.74,1.89,0.86,1.04,1.3,1.42,0.37,1.92,3.28,1.65,1.75,2.03,1.01,0.94,1.5,2.13,2.63,4.5,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,21.02,29.91,23.79,20.57,23.89,17.92,33.37,22.83,26.26,26.87,23.47,22.57,18.56,32.52,29.03,17.53,21.2,29.95,30.78,19.82,22.06,22.7,25.6,20.03,27.68,32.69,19.55,26.62,20.67,20.06,29.55,31.93,28.2,21.77,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
