"EAST ADDERBURY",,,,,,,,,,,,
Grid ref,SP473355,Long,-1.312186,Lat,52.015917,,,,,,,
Station no,1065,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.34,1.31,,
February,,,,,,,,,0.99,0.53,,
March,,,,,,,,,2.90,2.82,,
April,,,,,,,,,3.87,2.14,,
May,,,,,,,,,1.79,1.97,,
June,,,,,,,,,2.05,4.79,,
July,,,,,,,,,1.74,2.90,,
August,,,,,,,,,2.27,2.79,,
September,,,,,,,,,1.20,3.26,,
October,,,,,,,,,1.09,3.63,,
November,,,,,,,,,0.88,0.75,,
December,,,,,,,,,2.27,3.39,,
Total,,,,,,,,,22.39,30.28,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.39,30.28,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
