WEST-ADDERBURY-ST-AMANDS (EAST ADDERBURY),,,,,,,,,,,,,,,,,,,,
Grid ref,SP473355,Long,-1.3121862,Lat,52.015917,Elevation,320,ft,,,,,,,,,,,,
Station no,1065,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,1.34,1.31,,0.63,3.93,,,,,,,
February,,,,,,,,,0.99,0.53,,1.49,2.05,,,,,,,
March,,,,,,,,,2.9,2.82,,2.05,,,,,,,,
April,,,,,,,,,3.87,2.14,,0.87,,,,,,,,
May,,,,,,,,,1.79,1.97,,1.1,,,,,,,,
June,,,,,,,,,2.05,4.79,,1.44,,,,,,,,
July,,,,,,,,,1.74,2.9,,0.59,,,,,,,,
August,,,,,,,,,2.27,2.79,,1.5,,,,,,,,
September,,,,,,,,,1.2,3.26,,1.42,,,,,,,,
October,,,,,,,,,1.09,3.63,,2.31,,,,,,,,
November,,,,,,,,,0.88,0.75,,2.7,,,,,,,,
December,,,,,,,,,2.27,3.39,,5.29,,,,,,,,
Total,,,,,,,,,22.39,30.28,,21.39,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Gauge moved 1912 Mar,,,,,,,,,,,,,,,,,,,,
