GRESHAM-COLLEGE-LONDON,,,,,,,,,,
Grid ref,TQ330813,Long,-0.084665792,Lat,51.514976,Elevation,50,ft.,,
Station no,RR6231,,,,,,,,,
,,,,,,,,,,
,1690,1691,1692,1693,1694,1695,1696,1697,1698,1699
January,,,,,,,1.85,,,
February,,,,,,,2.79,,,
March,,,,,,,1.54,,,
April,,,,,,,1.36,,,
May,,,,,,,4.49,,,
June,,,,,,,3.49,,,
July,,,,,,,5.36,,,
August,,,,,,,,,,
September,,,,,,4.04,,,,
October,,,,,,0.58,,,,
November,,,,,,0.87,,,,
December,,,,,,2.54,,,,
Total,,,,,,,,,,
,,,,,,,,,,
"NGR is position of original Gresham College in Bishopsgate and, according to Wikipedia, is where Tower 42 (formerly NatWest Tower) is today",,,,,,,,,,
