LYMPSTONE-MUSSEL-PURIFICATION-STATION,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX991836,Long,-3.42835,Lat,50.64333,Elevation,4,ft,,,,,,,,,,,,,
Station no,1763,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,3.56,5.05,4.15,,4.97,1.74,5.07,1.62,2.88,1.73,,,,,,,
February,,,,,1.68,3.98,2.15,,2.3,1.73,1.23,2.12,0.01,4.14,,,,,,,
March,,,,,1.26,0.14,0.38,,3.66,0.08,2.17,1.77,2.08,3.05,,,,,,,
April,,,,,2.59,2.58,2.03,,1.34,1.01,2.88,2.85,1.78,1.41,,,,,,,
May,,,,,4.19,4.13,0.69,,1.3,2.08,0.99,2.9,3.7,1.62,,,,,,,
June,,,,,2.88,0.16,2.97,,1.46,2.16,0.27,2.69,3.26,2.02,,,,,,,
July,,,,,5.13,1.96,0.7,,1.07,1.47,1.46,3.1,3.12,,,,,,,,
August,,,,,3.2,1.04,0.84,,1.85,1.59,3.79,3.18,1.91,,,,,,,,
September,,,,,4.53,3.02,1.19,,1.62,0.01,4.65,1.71,4.25,2.24,,,,,,,
October,,,,,7.17,2.57,2.31,,,3.65,2.73,0.24,5.26,2.05,2.15,,,,,,
November,,,,,3.15,2.82,7.31,,3.31,8.78,5.07,5.87,1.89,1.32,1.58,,,,,,
December,,,,,3.93,4.72,0.34,,3.13,7.41,3.56,1.42,2.43,,9.49,,,,,,
Total,,,,,43.27,32.17,25.06,,,31.71,33.87,29.47,32.57,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1926 Jan 1 Gauge moved away from trees and fence,,,,,,,,,,,,,,,,,,,,,
1927 All values crossed out as 1928 values in wrong column,,,,,,,,,,,,,,,,,,,,,
1928 Feb Marked as estimated No note but possibly for snow,,,,,,,,,,,,,,,,,,,,,
1928 Oct Marked as estimated,,,,,,,,,,,,,,,,,,,,,
1931 Total has a question mark No note as to why,,,,,,,,,,,,,,,,,,,,,
1935 Observer told records no longer required No reason given,,,,,,,,,,,,,,,,,,,,,
