"NEWPORT W.W. (PANT-YR-EOS RESERVOIR)",,,,,,,,,,,,
Grid ref,ST254915,Long,-3.078880,Lat,51.617361,,,,,,,
Station no,4016,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.81,6.02,1.42,3.79,5.79,7.08,8.73,6.41,7.88,6.41,,
February,5.19,0.81,2.75,6.53,2.97,0.41,7.69,7.93,0.49,6.08,,
March,4.57,3.80,2.97,6.35,3.21,1.53,7.44,1.69,5.08,3.14,,
April,4.02,4.61,5.36,0.84,2.54,3.01,0.18,1.23,4.88,3.75,,
May,3.13,4.45,4.77,3.34,7.43,1.43,3.25,5.35,1.90,1.98,,
June,1.56,2.92,2.77,6.90,5.58,4.34,1.20,3.98,2.58,3.23,,
July,1.45,3.11,7.45,4.03,0.49,4.92,5.17,5.12,4.79,6.81,,
August,6.52,7.33,6.35,6.50,1.17,6.90,5.22,5.63,2.23,6.67,,
September,5.65,4.22,6.63,8.42,2.37,7.23,7.80,10.69,0.33,7.16,,
October,1.36,7.17,4.92,9.65,3.42,2.82,6.66,6.09,5.69,9.62,,
November,10.00,4.99,5.14,12.47,7.07,1.76,3.11,2.38,7.48,13.37,,
December,6.05,4.29,1.82,5.65,8.97,7.98,4.08,5.81,14.70,9.66,,
Total,55.31,53.72,52.35,74.47,51.01,49.41,60.53,62.31,58.03,77.88,,
Calc annual,55.31,53.72,52.35,74.47,51.01,49.41,60.53,62.31,58.03,77.88,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
