NEWPORT-WW-PANT-YR-EOS-RES-OLD-GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST254915,Long,-3.0788796,Lat,51.617361,Elevation,435,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,4016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,6.57,2.67,3.57,8,8.85,1.38,9.72,3.28,3.44,1.91,7.27,2.01,6.8,9.74,3.19,5.31,6.37,1.94,5.62,7.44,9.6,6.59,6.2,3.01,6.66,6.54,10.8,5.86,12.32,,
February,9.5,1.77,2.99,3.88,8.03,1.47,5.47,3,2.77,1.12,7.47,5.85,4.51,3.18,7.26,7.91,8.04,1.68,4.08,5.71,2.62,0.08,6.72,11.55,0.68,8.05,4.48,4.63,7.45,,
March,1.19,3.53,3.53,7.93,2.64,7.31,3.3,2.86,4.92,6.16,2.44,2.42,9.51,9.15,6.75,1.49,4.29,4.38,3.43,7.06,5.39,4.27,6.38,2.21,3.06,0.53,0.99,4.95,6.89,,
April,2.26,6.17,3.14,2.47,3.41,4.17,1.47,3.8,3.56,3.73,3.35,3.39,0.32,7.69,3.31,1.9,2.1,2.93,2.6,2.54,7.08,0.9,4.29,4.28,5.18,2.97,3.14,1.91,1.72,,
May,3.14,1.39,2.17,4.6,4.36,0.29,5.04,3.77,3.31,2.26,2.91,3.18,3.09,3.81,3.06,3.15,4.47,3.56,1.88,0.69,4.29,2.95,1.69,2.58,6.79,6.25,3.29,1.23,0.74,,
June,3.04,3.5,3.64,2.15,2.03,4.14,3.11,6.17,1.28,2.5,4.59,3.2,8.14,2.21,2.9,0.96,4.33,3.3,1.66,1.71,4.2,0.3,1.38,1.4,3.49,0,2.6,6.11,3.9,,
July,1.58,3.23,1.8,3.95,5.47,0.88,1.03,3.56,4.6,3.42,2.99,0.26,5.02,0.37,6.95,7.14,2.76,2.79,6.78,2.16,7.39,1.84,6.45,2.46,6.85,3.88,2.87,5.79,,,
August,5.49,4.35,5.39,8.03,3.88,5.86,3.12,5.36,7.7,3.41,6.77,3.22,10.6,2.29,3.73,2.39,4.07,10.22,3.75,3.62,2.32,4.54,4.45,5.42,7.88,6.39,5.35,6.7,,,
September,2.29,3.76,2.78,5.48,4.13,3.19,1.53,1.12,3.82,5.31,0.35,2.87,1.03,4.15,3.09,1.34,1.99,3.78,13.01,3.42,4.03,3.41,4.03,4.79,10.69,6,1.76,8.4,,,
October,7.51,2.82,5.52,15.44,1.74,3.04,9.6,7.21,3.05,11.18,5.09,5.39,6.77,6.94,3.22,5.5,11.51,8.31,4.42,2.77,4.4,2.14,1.95,9.45,7.85,7.19,4.67,6.75,,,
November,6.2,1.55,5.88,2.82,2.72,6.03,4.47,4.01,2.08,3.13,7.6,8.13,3.77,7.35,7.2,3.08,5.29,2.58,4.07,3.51,3.96,4.93,3.53,5.99,4.74,2.64,10.92,6.2,,,
December,10.77,9.09,5.72,4.93,4.72,2.04,2.45,9.47,5.41,10.71,8.21,12.98,11.12,3.17,11.63,12.45,4.63,1.12,8.44,9.39,8.65,5.62,8.58,5.12,11.04,5.12,0.33,4.54,,,
Total,59.54,43.83,46.13,69.68,51.98,39.8,50.31,53.61,45.94,54.84,59.04,52.9,70.68,60.05,62.29,52.62,59.85,46.59,59.74,50.02,63.93,37.57,55.65,58.26,74.91,55.56,51.2,63.07,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is the head of the reservoir near cottage as described in the record. Altitudes match. The New gauge is described as being 40 yards E of the Old and down the slope but the stated altitudes are the same; difference in altitude probably only a few feet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
