BIRKHILL CUPAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 33637 23424,Long,-3.076729,Lat,56.398394,Elevation,130,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,1.56,2.61,3.33,4.66,4.9,4.48,2.02,1.45,3.95,3.35,2.22,,,4.9,1.91,0.82,1,0.6,1.6,3.41,3.56,1.44,2.2,,,
February,,,,,2.62,3.66,3.14,1.42,1.92,1.47,2.59,2.5,5.52,1.11,0.93,,,1.97,1.36,3.41,2.65,3.93,1.88,3.48,1.6,2.73,1.36,,,
March,,,,,3.24,1.22,3.14,1.99,1.89,1.12,0.85,1.23,2.46,1.78,,,,2.62,0.53,2.3,2.3,1.35,2.84,1.91,2.71,1.82,3.5,,,
April,,,,,1.05,1.07,0.9,2.65,3.01,1.46,0.39,5.59,1.6,0.16,,,,2.82,1.45,2.52,2.9,0.29,5.03,1.55,1.56,2.3,1.27,,,
May,,,,,0.78,1.56,0.93,4.14,1.96,1.01,1.12,0.96,4.21,2.73,,,,1.61,3.17,2.01,0.46,1.93,2.03,0.87,1.85,4.7,3.23,,,
June,,,,,-999,1.47,1.26,1.73,0.63,2.58,1.9,1.72,4.69,1.28,,,,3.9,2.4,4.73,2.16,2.65,2.48,2.11,0.28,0.78,0.82,,,
July,,,,,-999,3.89,2.79,5.53,0.52,1.34,1.43,4.14,2.56,4.39,,,,5.26,0.71,3.53,3.67,3.01,4.4,5.58,4.66,0.56,3.86,,,
August,,,,2.9,1.41,2.25,3.46,2.22,4.92,0.73,0.98,1.83,3.71,2.72,,,,7.71,4.04,4.72,0.5,4.69,1.78,4.12,4.38,2.21,1.1,,,
September,,,,3.45,3,1.34,2.92,1.71,5.55,5.62,2.91,1.69,4.08,3.71,,,,2.12,3.18,2.19,2.88,3.61,1.68,3.19,2.38,3.15,1.97,,,
October,,,,1.69,6.63,5.75,2.14,2.39,1.15,1.84,3.67,3.1,3.95,2.69,,,,4.3,2.66,1.36,1.52,4.74,3.41,1.94,1.67,1.48,4.07,,,
November,,,,3.02,2.6,3.12,1.71,0.39,1.81,0.74,1.62,2.71,5.21,1.99,,,,3.12,1.74,1.39,3.11,3.73,3.74,2.33,1.43,1.4,1.45,,,
December,,,,1.66,4.5,3.86,3.4,0.83,5.69,2.35,4.46,1.12,4.83,1.91,,,,2.67,1.38,0.92,1.58,2.3,3.42,1.6,2.45,0.9,2.13,,,
Total,,,,,31.95,31.8,29.12,29.66,33.95,24.74,23.94,28.04,46.77,27.82,,,,43,24.53,29.9,24.73,32.83,34.29,32.09,28.53,23.47,26.96,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1864 Jun Jul Bracketed -999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd  Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
home to the Chief of the Clan Scrymgeour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
