GLENSHIEL (KYLE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NH017132,Long,-5.281262,Lat,57.166664,Elevation,650,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5786/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,19.64,23.87,9.77,1.26,1.78,9.26,12.66,27.48,9.92,15.6,10.59,9.75,27.61,14.11,12.72,14.9,,14.44,6.9,,20.9,11.76,5.01,8.24
February,,,,,,,10.96,21.8,22.73,5.73,12.65,6.95,24.31,9.07,19.15,11.74,0.13,12.39,21.39,11.95,6.6,10,,5.94,6.49,,8.6,9.09,6.9,6.25
March,,,,,,4.81,2.76,35.51,12.4,10.1,4.95,2.54,13.29,8.73,16.08,5.83,2.82,12.65,8.6,9.98,7.97,10.16,,8.38,2.91,,7.32,5.96,7.15,1.65
April,,,,,,4.27,3.72,5.2,7.82,10.23,6.05,4.3,21.02,8.88,4.61,10.75,32.79,6.58,19.06,12.96,11.66,7.81,,5.47,6.17,,5.2,7.23,6.95,6.95
May,,,,,,3.23,4.97,5.87,3.06,3.1,3.05,4.71,7.45,12.86,8.79,1.37,2.62,1.09,5.71,3.84,1.29,6.13,,5.94,7.11,,2.1,8.15,2.81,3.59
June,,,,,,2.82,6.25,16.16,5.07,4.69,1.56,9.66,8.74,10.37,13.42,10.61,5,7.19,4.12,10.54,4.69,10.8,,9.14,5.92,,6.1,5.01,8.66,6.55
July,,,,,,8.06,7.75,9.07,11.03,12.22,6.83,11.31,7.65,3.06,4.38,15.96,9.34,11.24,8.31,8.06,7.72,7.12,,7.98,1.78,,9.9,4.2,9.78,3.94
August,,,,,,6.64,4.69,7.67,6.06,15.33,17.96,15.61,8.98,8.01,6.06,8.84,0.27,11.13,11.62,13.85,10.21,13.27,,7.73,3.2,,8.52,9.55,8.63,6.97
September,,,,,,4.29,11.35,9.79,4.47,12.44,5.33,16.78,12.33,11.58,14.37,17.32,16.15,20.33,9.71,24.58,9.63,16.45,,16.4,12.09,,8.35,4.95,3.79,5.51
October,,,,,,17.78,5.04,29.93,4.3,15.03,12.8,23.51,20.46,15.67,8.06,1.28,11.95,20.04,11.15,17.13,5.71,17.13,10.32,21.84,15.8,,15.32,14.1,11.98,1.59
November,,,,,,9.41,3.48,26.41,23.76,21.71,15.81,7.12,13.85,12.27,3.49,10.7,18.81,16.33,16.95,10.52,16.06,10.37,25.16,16.11,7.05,,6.01,3.85,10.79,7.8
December,,,,,,28.15,3.98,15.59,8.29,16.8,19.85,23.06,14.4,12.48,9.65,15.25,7.81,15.94,29.17,7.51,24.35,9.97,14.29,28.59,,,17.6,6.91,16.01,9.01
Total,,,,,,,84.59,206.87,118.76,128.64,108.62,134.81,165.14,140.46,117.98,125.25,118.28,144.66,173.4,145.03,118.61,134.11,,147.96,,,115.92,90.76,98.46,68.05
