"GLENSHIEL (KYLE)",,,,,,,,,,,,
Grid ref,NH017132,Long,-5.281262,Lat,57.166664,,,,,,,
Station no,5786/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,12.72,14.90,100.00,14.44,6.90,,20.90,11.76,5.01,8.24,,
February,6.60,10.00,,5.94,6.49,,8.60,9.09,6.90,6.25,,
March,7.97,10.16,,8.38,2.91,,7.32,5.96,7.15,1.65,,
April,11.66,7.81,,5.47,6.17,,5.20,7.23,6.95,6.95,,
May,1.29,6.13,,5.94,7.11,,2.10,8.15,2.81,3.59,,
June,4.69,10.80,,9.14,5.92,,6.10,5.01,8.66,6.55,,
July,7.72,7.12,,7.98,1.78,,9.90,4.20,9.78,3.94,,
August,10.21,13.27,,7.73,3.20,,8.52,9.55,8.63,6.97,,
September,9.63,16.45,100.00,16.40,12.09,,8.35,4.95,3.79,5.51,,
October,5.71,17.13,10.32,21.84,15.80,,15.32,14.10,11.98,1.59,,
November,16.06,10.37,25.16,16.11,7.05,,6.01,3.85,10.79,7.80,,
December,24.35,9.97,14.29,28.59,,,17.60,6.91,16.01,9.01,,
Total,118.61,134.11,-999.00,147.96,,,115.92,90.76,98.46,68.05,,
Calc annual,118.61,134.11,249.77,147.96,75.42,0.00,115.92,90.76,98.46,68.05,,
Difference,0.00,0.00,-1248.77,0.00,NaN,NaN,-0.00,0.00,-0.00,0.00,,
