MAIDENHEAD-THE-HALLS-COOKHAM,,,,,,,,,,,,,,,,,,,,
Grid ref,SU897852,Long,-0.70747852,Lat,51.55856,Elevation,70,ft.,,,,,,,,,,,,
Station no,RR4740,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,1.99,3.41,2.51,1.79,1.78,4.16,3.19,1.61,3.87,1.25,4.66,1.75,
February,,,,,,,,1.53,0.68,2.06,1.94,1.13,1.47,1.99,1.31,1.22,2.04,1.8,1.88,
March,,,,,,,,2.42,2.18,1.58,1.74,1.26,2.23,2.4,0.53,0.54,3.34,2.47,1.05,
April,,,,,,,,2.53,1.61,1.5,0.4,2.53,1.56,0.42,1.63,1.1,2.43,2.95,3.06,
May,,,,,,,,1.93,0.67,3.31,1.01,0.56,2.56,1.56,0.91,1.93,0.73,2.16,4.16,
June,,,,,,,,1.17,0.71,1.57,0.62,2.79,2.56,1.14,1.63,3.57,2.27,0.96,2.59,
July,,,,,,,,3.49,1.73,0.8,0.76,2.76,2.59,1.82,1.63,5.4,1.39,2.94,0.35,
August,,,,,,,,1.69,3.82,1.66,2.56,1.01,2.67,2.18,1.18,1.29,2.21,2.73,5.93,
September,,,,,,,,2.14,3.22,3.62,1.93,4.53,0.94,2.38,3.29,1.66,4.05,1.34,1.08,
October,,,,,,,,2.28,3.26,2.08,2.99,1.59,4.13,3.04,2.85,4.83,1.47,2,2.02,
November,,,,,,,,0.24,1.29,2.98,1.23,0.5,3.26,1.86,2.59,3.26,4.1,4.49,3.3,
December,,,,,,,,2.34,4.78,3.2,2.41,1.12,4.8,0.44,1.65,1.11,5.56,2.48,1.76,
Total,,,,,,,,23.75,27.36,26.87,19.38,21.56,32.93,22.42,20.81,29.78,30.84,30.98,28.93,
,,,,,,,,,,,,,,,,,,,,
"NGR is The Hall Cookham, assumed to be The Halls. Stated altitude is 20 ft. too low",,,,,,,,,,,,,,,,,,,,
