ABINGDON-BURCOTE-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,SU559959,Long,-1.1932706,Lat,51.659113,Elevation,168,ft,,,,,,,,,,,,
Station no,RR6461,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,3.6,3,1.93,3.91,1.55,3.5,1.47,2.97,0.47,1.76,1.05,1.78,2.14,1.81,,,,
February,,,1.23,1.37,1.52,1.4,2.01,2.03,1.21,3.42,2.11,2.34,1.48,2.9,1.4,2.67,,,,
March,,,1.5,1.93,0.57,0.84,3.5,2.04,0.74,0.67,1.22,1.23,1.2,0.84,1.2,1.2,,,,
April,,,1.88,0.68,1.12,1.28,2.25,2.28,2.17,2.04,2.16,0.79,3.82,1.26,2.25,1.88,,,,
May,,,2.35,1.86,1.48,2.01,1.14,2.59,2.57,3.15,0.73,0.85,1.62,2.08,0.73,2.17,,,,
June,,,2.37,2.96,0.58,2.14,1.96,1.04,3.64,3.77,3.15,2.05,3.65,3.75,2.38,1.77,,,,
July,,,3.58,1.55,1.14,4.41,0.58,2.71,0.8,4.2,6.99,1.85,3.07,3.37,2.17,0.21,,,,
August,,,1.85,2.43,1.46,1.33,4.18,3.66,4.69,4.17,0.56,4.79,1.65,0.86,1.06,1.02,,,,
September,,,0.73,2.46,3.07,2.31,5.45,1.73,0.97,2.84,4.4,1.51,2.34,3.64,1.69,3.46,,,,
October,,,2.86,2.13,3.05,6.89,1.61,1.57,3.22,0.94,4.84,1.78,5.18,1.64,1.33,3.51,,,,
November,,,2.3,1.89,2.17,3.23,3.04,3.77,2.49,0.6,1.68,2.97,3.06,2.48,1.18,4,,,,
December,,,3.17,0.48,2.25,0.68,4.85,1.47,1.43,0.79,3.16,2.62,2.87,0.54,2.22,1,,,,
Total,,,27.42,22.74,20.34,30.43,32.12,28.39,25.4,29.56,31.47,24.54,30.99,25.14,19.75,24.7,,,,
