BIRMINGHAM ERDINGTON - old gauge,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP102917,Long,-1.851098,Lat,52.523083,Elevation,472,ft,,,,,,,,,,,,,
Station no,2485,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,2.94,3.46,0.76,2.58,0.94,1.94,2.44,3.01,2.59,2.06,3.13,1.63,2.47,1.95,2.63,2.35,3.99,1.17,3.9
February,,,1.38,0.8,1.89,3.3,3.8,0.98,1.2,2.59,1.14,0.15,2.27,4.68,0.52,2.48,1.98,2.26,1.94,0.53,0.74
March,,,3.5,4.34,1.97,0.69,3.13,1.39,1.1,3.92,2.63,1.11,1.82,1.42,0.85,0.85,0.59,1.85,1.56,0.1,2.34
April,,,0.25,3.42,0.87,1.02,1.05,1.25,2.66,1.45,4.09,1.11,2.95,2.32,2.71,1.98,2.03,1.33,0.9,0.6,2.44
May,,,2.17,1.83,1.49,2.1,2.36,3.5,1.67,0.74,2.59,1.27,1.62,1.54,4.67,3.46,3.42,1.31,0.19,1.59,1.99
June,,,4.22,1.28,2.37,0.7,1.68,2.52,0.61,1.33,2.93,0.65,0.66,0.4,1.64,0.25,1.14,3.51,2.98,1.19,1.38
July,,,3.88,1.51,3.64,5.54,1.55,2.01,1.95,2.55,3.25,0.41,5.93,3.39,3.05,3.42,1.64,2.25,0.97,1.49,3.88
August,,,6.15,0.8,1.85,1.84,2.45,4.76,1.69,2.23,2.07,4.85,4.64,1.78,2.94,2.19,1.79,2.87,1.55,1.31,2.58
September,,,0.82,1.31,1.02,0.46,1.14,1.7,5.53,1.68,2,0.92,2.32,2.71,2.9,3.68,0.92,3.2,0.66,0.66,3.73
October,,,2.3,2.66,1.57,1.78,2.99,2.55,1.03,2.81,2.64,1.83,0.34,2.95,3.97,3.46,2.09,1.45,4.04,3.24,2.51
November,,,1.9,2.38,3.66,2.52,2.9,1.13,1.68,1.45,0.65,1.62,0.94,1.6,2.03,1.61,4.51,3.02,3.05,5.71,3.04
December,,,3.33,1.06,4.88,4.61,2.49,1.11,2.67,3.23,2.14,1.96,3.49,3.01,2.96,2.26,0.28,2.2,1.55,4.46,2.47
Total,,,32.84,24.85,25.97,27.14,26.48,24.84,24.23,26.99,28.72,17.94,30.11,27.43,30.71,27.59,23.02,27.6,23.38,22.05,31
