"BIRMINGHAM (ERDINGTON)",,,,,,,,,,,,
Grid ref,SP102917,Long,-1.851098,Lat,52.523083,,,,,,,
Station no,2485,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.59,2.41,1.02,1.14,2.24,3.79,1.33,2.14,3.24,5.75,,
February,2.55,0.46,1.14,2.34,1.96,0.64,2.63,4.20,0.34,2.14,,
March,4.54,2.16,1.69,2.49,3.18,1.02,2.24,1.66,1.64,1.67,,
April,2.31,2.58,2.63,0.58,1.13,1.46,0.22,0.90,3.46,1.05,,
May,3.22,2.54,2.74,2.29,5.01,0.60,1.36,2.14,0.98,0.97,,
June,1.03,1.60,1.82,3.73,2.55,2.11,1.01,4.17,0.97,2.70,,
July,0.76,2.46,3.41,3.55,0.36,3.19,3.40,4.37,1.68,3.67,,
August,4.44,3.98,2.54,4.22,0.50,5.69,4.34,3.04,2.38,3.47,,
September,2.66,1.30,2.41,1.43,1.59,2.42,4.83,3.22,0.26,5.62,,
October,0.74,3.92,2.09,3.33,1.61,1.42,1.26,2.40,3.08,5.11,,
November,6.45,2.13,1.32,6.02,2.46,0.76,1.90,1.98,4.01,3.40,,
December,2.25,3.17,1.29,2.08,2.27,3.06,2.08,3.00,4.32,3.50,,
Total,33.54,28.71,24.10,33.20,24.86,26.16,26.60,33.22,26.36,39.05,,
Calc annual,33.54,28.71,24.10,33.20,24.86,26.16,26.60,33.22,26.36,39.05,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
