GLENEDRA INTAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IC682024,Long,-6.938483,Lat,54.864863,Elevation,740,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,6243/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,6.07,6.73,5.12,6.47,3.4,7.83,10.71,7.31,4.73,4.84,4.22,9.25,7.3,6.44,5.27,6.74,7.23,7.24,5.71,4.83,4.96,7.75,1.84,4.35,4.48,5.29,6.16,4.46,3.29,6.27
February,5.31,0.24,5.06,0.82,6.82,3.31,7.65,3.44,5.36,4.02,5.03,3.05,4.28,2.14,5.62,4.47,2.54,4.14,4.98,4.95,4.58,2.78,2.62,6.12,4.22,1.97,5.25,6.22,1.63,5.59
March,1.87,4.07,4.86,3.52,2.06,4.64,4.26,3.09,4.98,6.02,4.25,4.74,2.14,1.91,2.61,3.05,6.68,5.03,3.1,2.7,3.82,2.47,1.1,5.08,1.58,2.87,3.85,,5.13,2.56
April,4.28,5.95,2.75,4.85,4.32,1.54,4.13,0.46,2.71,6.76,2.65,3.6,4.4,3.86,2.85,1.7,6.81,3.75,4.82,7,3.46,2.43,3.18,1.52,3.47,1.86,1.57,2.63,4.97,4.61
May,6.08,3.72,4.31,4.47,1.6,2.68,2.21,3.51,1.6,1.67,2.72,5.45,5.25,3.85,6.62,2.15,4.18,2.68,2.75,2.64,3.11,1.73,3.74,5.73,4.59,2.38,1.73,4.12,1.34,2.65
June,5.61,2.54,3.17,2.95,5.55,2.7,2.32,7.19,3.2,1.85,0.5,1.29,4.03,5.24,,5.14,5.61,4.4,2.36,3.44,3.53,3.35,3.47,4.34,5.04,4.47,1.76,,2.9,3.25
July,6.53,5.44,4.39,3.72,1.3,7.9,6.81,6.55,6.85,5.16,6.2,6.25,3.2,5.11,,6.22,6.41,4.34,2.72,8.52,4.6,2.91,5.77,5.11,1.27,5.67,7.82,,4.75,6.95
August,3.94,2.2,3.17,7.28,3.77,3.42,4.65,2.72,1.87,2.02,6.62,8.06,7.97,3.56,2.15,9.15,0.55,5.72,3.78,7.24,7.58,5.6,4.9,3.78,1.24,6.47,4.8,4.67,2.38,5.18
September,2.69,5.01,1.04,8.54,5.95,6.16,4.62,4.11,2.78,4.55,1.15,7.19,4.89,6.39,4.86,9.75,3.6,5.82,3.42,8.69,4.21,4.19,4.51,6.49,4.7,4.55,7.07,6.21,1.35,3.6
October,3.88,5.7,5.2,7.85,9.09,5.05,2.4,8.73,4.85,6.47,5.6,5.12,6.12,8.1,7.21,2.12,2.46,4.65,6.65,6.39,2.31,6.92,3.28,6.02,4.41,3.57,4.75,4.05,5.87,7.44
November,7.69,4.76,2.11,1.78,7.21,6.46,2.86,9.8,7.95,7.25,9.59,1.95,5.55,7.58,0.95,5.44,7.98,3.95,5.51,4.82,10.56,4.29,5.01,7,2.95,3.58,1.58,2.43,8.2,5.8
December,4.45,8.28,3.52,8.55,6.19,6.68,3.76,6.43,6.22,6.7,4.7,8.4,4.24,6.9,6.92,7.4,3.78,8.27,9.03,5.75,7.15,6.32,4.37,6.8,6.66,6.68,6.87,7.4,9.38,5.46
Total,58.4,54.64,44.7,60.8,57.26,58.37,56.38,63.34,53.1,57.31,53.23,64.35,59.37,61.08,,63.33,57.83,59.99,54.83,66.97,59.87,50.74,43.79,62.34,44.61,49.36,53.21,,51.19,59.36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934 Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1945 June, July and total estimated therefore removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1958 Mar, June July estimated; total accepted but notes as low too much estimation, therefore removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
