EASTON-MAUDIT-VICARAGE,,,,,,,,,,
Grid ref,SP887587,Long,-0.70302196,Lat,52.21938,Elevation,245,ft,,
Station no,RR8246,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,1.82,1.06,1.8,1.65,2.9,0.99,,,
February,,0,1.52,1.98,1.98,0.19,0.57,,,
March,,1.5,1.13,0.12,1.43,2.23,2.53,,,
April,,1.63,0.73,0.14,1.26,1.38,0.95,,,
May,,3.12,1.17,1.31,1.91,0.18,0.33,,,
June,,2.58,1.98,1.2,1.94,0.77,2.87,,,
July,,2.34,1.87,2.31,2.97,2.75,0.81,,,
August,,4.06,2.33,2.17,3.03,1.86,2.15,,,
September,,0.69,2.83,0.63,1.51,1,,,,
October,,5.69,3.93,2.4,2.41,2.82,,,,
November,,2.6,1.23,2.12,3.68,3.83,,,,
December,,3.2,1.43,1.5,1.67,1.77,,,,
Total,,29.23,21.21,17.68,25.44,21.68,,,,
