MARLOW-HARLEYFORD-GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU828846,Long,-0.8071274,Lat,51.55422,Elevation,97,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,997/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,2.26,,4.68,5.16,3.22,5.78,2.55,2.89,2.49,4.88,1.34,1.8,,,,,,,,,0.96,,,,,,
February,,,,0.15,,2.24,5.18,0.43,1.33,2.1,2.25,0.68,0.98,1.12,2.1,,,,,,,,,2.43,,,,,,
March,,,,2.52,,1.84,3.4,0.38,1.29,2.39,3.05,1.85,0.55,0.04,0.52,,,,,,,,,2.14,,,,,,
April,,,,1.51,,2.13,3.4,0.05,2.52,2.52,1.75,1.93,0.6,1.51,1,,,,,,,,,0.34,,,,,,
May,,,,0.74,1.49,0.77,3.6,2.09,2.86,2.19,1.82,3.32,2.61,0.62,2.11,,,,,,,,,,,,,,,
June,,,,1.98,3.81,3.74,2,0.3,2.1,0.76,2.22,0.49,1.78,1.4,3.08,,,,,,,,,,,,,,,
July,,,,1.19,1.64,3.44,1.89,1.98,3.35,2.3,5.9,2.03,2.09,1.42,2.21,,,,,,,,,,,,,,,
August,,,,2.44,2.23,0.52,1.18,2.8,3.29,0,5.36,2.1,1.63,2.11,1.06,,,,,,,,,,,,,,,
September,,,,1.85,4.6,3.17,3.18,2.2,0.35,1.42,0.09,1.07,1.35,2.15,1.89,,,,,,,,2.35,,,,,,,
October,,,,1.77,3.4,1.92,2.69,3.8,5.61,3.51,0.7,3.94,2.66,3.57,3.75,,,,,,,,3,,,,,,,
November,,,,1.82,4.5,3.9,1.45,4.1,5.73,6.65,2.73,1.56,2.01,4.67,0.26,,,,,,,,1.39,,,,,,,
December,,,,7.25,1.25,2.14,2.17,2.95,2.08,1.62,1.36,3.06,1.66,1.75,3.13,,,,,,,,0.56,,,,,,,
Total,,,,25.48,,30.49,35.3,24.3,36.29,28.01,30.12,24.52,22.8,21.7,22.91,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snow estimates kept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
