TOWIE CULQUOICH,,,,,,,,,,
Grid ref,NJ419139,Long,-2.963521,Lat,57.21216,Elevation,780,ft,,
Station no,RR4354,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,1.5,2.15,2.1,,,,
February,,,,2.13,2.45,2.59,,,,
March,,,,0.84,1.11,1.25,,,,
April,,,,1.36,1.5,1.3,,,,
May,,,,0.98,5.7,1.75,,,,
June,,,,2.67,1.7,2.53,,,,
July,,,,2.38,4.27,4.32,,,,
August,,,,3.98,6.4,3.67,,,,
September,,,,4.94,1.25,1.39,,,,
October,,,,2.87,3.42,2.09,,,,
November,,,,2.8,0.65,2.04,,,,
December,,,,3.48,2,3.05,,,,
Total,,,,29.93,32.6,28.08,,,,
,,,,,,,,,,
Station no,RR4354,,,,,,,,,
Midas,,,,,,,,,,
Hyd Stn,,,,,,,,,,
