ELLON MAINS OF WATERTON,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ 956 305,Long,-2.074808,Lat,57.3649,Elevation,55,ft,,,,,,,,,,,,
Station no,RR1024,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,1.93,1.98,2.14,1.39,,,,,,,,
February,,,,,,,,,1.26,1.1,2.53,2.13,,,,,,,,
March,,,,,,,,,3.63,5.44,1.56,1.74,,,,,,,,
April,,,,,,,,,2.64,2.67,2.3,1.66,,,,,,,,
May,,,,,,,,,1.62,3.39,2.8,2.08,,,,,,,,
June,,,,,,,,,1.99,2.01,0.93,2.5,,,,,,,,
July,,,,,,,,,2.91,3.03,2.66,1.74,,,,,,,,
August,,,,,,,,,2.03,2.85,3.28,1.55,,,,,,,,
September,,,,,,,,1.21,3.17,2.62,1.42,1.1,,,,,,,,
October,,,,,,,,4.92,1.65,2.8,1.99,2.58,,,,,,,,
November,,,,,,,,1.98,1.38,2.12,6.34,4.94,,,,,,,,
December,,,,,,,,3.05,3.5,3.05,3.36,5.5,,,,,,,,
Total,,,,,,,,29.37,27.71,33.06,31.31,28.91,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Gauge move Sept 1907,,,,,,,,,,,,,,,,,,,,
Location Med Confidence,,,,,,,,,,,,,,,,,,,,
Approx 1.5 mile,,,,,,,,,,,,,,,,,,,,
