"ELLON MAINS OF WATERTON",,,,,,,,,,,,
Grid ref,NJ984302,Long,-2.028243,Lat,57.362274,,,,,,,
Station no,RR1024,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.94,2.06,1.95,3.09,2.01,0.95,1.26,2.01,1.93,1.98,,
February,3.70,3.03,1.32,2.99,4.03,2.02,2.44,1.51,1.26,1.10,,
March,3.05,2.30,1.52,1.18,2.34,3.25,2.02,1.47,3.63,5.44,,
April,1.54,2.29,2.80,2.84,1.75,3.43,1.73,1.52,2.64,2.67,,
May,0.83,1.67,3.10,2.73,2.53,1.25,5.52,2.99,1.62,3.39,,
June,2.40,1.42,1.36,1.66,1.01,1.31,0.48,3.74,1.99,2.01,,
July,4.16,1.81,3.97,5.43,0.61,3.62,2.07,1.94,2.91,3.03,,
August,2.59,2.83,2.43,3.39,1.68,3.60,2.58,3.03,2.03,2.85,,
September,2.41,1.25,1.47,2.87,2.61,2.04,1.21,1.21,3.17,2.62,,
October,2.97,2.84,1.57,3.59,1.39,5.42,5.52,4.92,1.65,2.80,,
November,4.00,2.32,1.88,3.08,1.48,6.50,4.58,1.98,1.38,2.12,,
December,2.84,4.04,2.32,2.22,3.34,0.66,3.80,3.05,3.50,3.05,,
Total,33.43,27.86,25.69,35.07,24.78,34.05,33.21,29.37,27.71,33.06,,
Calc annual,33.43,27.86,25.69,35.07,24.78,34.05,33.21,29.37,27.71,33.06,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
