ELLON MAINS OF WATERTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ984302,Long,-2.028243,Lat,57.362274,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907
January,,1.5,2.51,1.79,1.15,3.09,1.21,3.23,1.62,2,0.87,1.69,1.51,1.57,2.32,1.68,2.41,2.65,2.11,0.85,2.2,1.07,3.37,2.74,1.66,3.91,0.75,2.66,1.28,3.46,2.94,2.06,1.95,3.09,2.01,0.95,1.26,2.01
February,,3.5,2.98,2.09,1.76,1.88,4.39,3.05,0.58,1.69,2.66,3.69,0.82,3.19,2.27,2.55,1.58,0.85,1.93,3.28,1.13,0.34,2.65,2.97,2.32,1.85,0.85,0.72,2.49,1.61,3.7,3.03,1.32,2.99,4.03,2.02,2.44,1.51
March,,0.56,2.43,2.02,2.63,2.19,4.53,2.29,3.25,2.34,1.6,1.74,1.9,4.24,3.2,1.64,1.81,2.21,4.14,2.08,3.13,3.19,0.87,0.57,0.45,3.88,2.27,3.02,2.53,2.68,3.05,2.3,1.52,1.18,2.34,3.25,2.02,1.47
April,,4.51,3.62,1.09,0.9,1.66,2.47,3.2,0.98,2.53,2.84,0.89,3.35,1.74,1.74,1.4,1.09,2.28,2.29,3.35,1.24,0.51,1.29,0.76,0.91,1.3,1.04,1.92,3.93,3.55,1.54,2.29,2.8,2.84,1.75,3.43,1.73,1.52
May,,0.74,3.47,2.79,1.42,2.01,0.76,3.27,2.23,4.18,0.83,2.43,1.12,1.29,1.72,3.73,4,1.24,1.28,1.26,2.58,2.64,2.75,1.07,3.77,0.46,1.69,1.76,2.66,2.08,0.83,1.67,3.1,2.73,2.53,1.25,5.52,2.99
June,,0.96,3.77,1.33,1.21,2.38,0.77,3.94,2.25,2.79,2.06,2.5,3.82,1.55,1.15,1.1,1.26,0.56,2.24,0.48,1.69,0.4,2.2,2.77,1.29,2.5,2.46,3.52,1.46,1.25,2.4,1.42,1.36,1.66,1.01,1.31,0.48,3.74
July,,2.51,1.78,3.37,1.71,4.72,2.03,2.91,1.19,4.42,4.43,3.83,2.36,3.81,2.39,1.54,2.59,1.63,4.02,3.79,2.62,2.59,2.16,3.03,2.59,3.45,3.31,0.9,1.17,4.11,4.16,1.81,3.97,5.43,0.61,3.62,2.07,1.94
August,,2.28,3.03,3.97,7.3,2.66,2.14,7.11,6.27,3.96,0.34,2.98,2.53,3.42,2.33,2.91,1.23,2.86,1.62,4.94,2.64,4.34,3.33,1.64,4.99,4.1,1.88,2.91,2.3,1.33,2.59,2.83,2.43,3.39,1.68,3.6,2.58,3.03
September,,1.88,6.18,4.01,2.1,5.93,3.33,1.66,2.87,2.81,3.11,1.34,1.87,3.54,1.56,4.33,1.71,2.72,1.95,1.53,1.61,6.05,2.21,4.34,1.29,1.1,4.27,2.38,1.84,3.52,2.41,1.25,1.47,2.87,2.61,2.04,1.21,
October,,3.44,5.96,3.08,3.39,3.85,2.85,1.99,3.19,1.41,3.79,3.68,3.61,2.28,2.98,2.92,2.21,3.31,2.27,3.83,4.99,1.51,6.73,2.97,3.05,6.87,4.47,2.72,3.18,1.09,2.97,2.84,1.57,3.59,1.39,5.42,5.52,
November,,2.88,4.63,3.32,4.63,4.59,4.41,5.05,5.13,3.27,2.53,0.93,5.38,1.35,3.76,1.88,2.04,2.53,3,1.65,5.68,2.78,2.41,3.98,1.03,2.85,1.05,1.83,3.65,1.09,4,2.32,1.88,3.08,1.48,6.5,4.58,
December,,1.8,4,1.58,3.5,1.62,6.68,2.86,5.23,0.49,4.4,1.69,5.84,2.67,1.84,2.47,3.48,3.31,1.29,2.09,2.72,1.62,1.27,2.09,2.76,5.65,7.04,2.56,2.37,4.84,2.84,4.04,2.32,2.22,3.34,0.66,3.8,
Total,,26.56,44.36,30.44,31.7,36.58,35.57,40.56,34.79,31.89,29.46,27.39,34.11,30.65,27.26,28.15,25.41,26.15,28.14,29.13,32.23,27.04,31.24,28.93,26.11,37.92,31.08,26.9,28.86,30.61,33.43,27.86,25.69,35.07,24.78,34.05,33.21,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge move sep 1907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approx 1.5 mile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
