COMRIE WOODVILLE COTTAGE DALGINCROSS,,,,,,,,,,
Grid ref,NN 77519 21585,Long,-3.98456,Lat,56.370661,Elevation,200,ft,,
Station no,RR4365,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,6.4,10.6,,
February,,,,,,,5.4,4.9,,
March,,,,,,,7,2.25,,
April,,,,,,,4.1,4.3,,
May,,,,,,,0.5,2.65,,
June,,,,,,,5,7,,
July,,,,,,,2,4.3,,
August,,,,,,,4,8,,
September,,,,,,6.65,3.5,3.5,,
October,,,,,,7.75,8,10.3,,
November,,,,,,5.9,4.5,12.6,,
December,,,,,,6.7,9.6,11.6,,
Total,,,,,,,60,82,,
,,,,,,,,,,
Station no,RR4365,,,,,,,,,
Midas,,,,,,,,,,
Hyd Stn,,,,,,,,,,
