COMRIE DALGINROSS,,,,,,,,,,,,,,,,,,,,
Grid ref,NN 77550 21670,Long,-3.984099,Lat,56.371433,Elevation,200,ft,,,,,,,,,,,,
Station no,RR4365,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,6.22,4.35,12.68,4.52,,,,,,,,
February,,,,,,,,,0.46,2.62,1.11,0.58,,,,,,,,
March,,,,,,,,,3.37,1.66,3.45,2.63,,,,,,,,
April,,,,,,,,,2.28,4.57,1.7,2.6,,,,,,,,
May,,,,,,,,,5.13,4.64,2.31,2.53,,,,,,,,
June,,,,,,,,,4.28,1.5,4.56,1.34,,,,,,,,
July,,,,,,,,,6.32,2.06,4.2,2.27,,,,,,,,
August,,,,,,,,,3.55,5.73,2.92,5.63,,,,,,,,
September,,,,,,,,,0.54,0.93,3.6,6.4,,,,,,,,
October,,,,,,,,,4.26,5.22,2.52,7.65,,,,,,,,
November,,,,,,,,,10.05,1.72,7.73,5.8,,,,,,,,
December,,,,,,,,,6.24,4.18,1.27,9.92,,,,,,,,
Total,,,,,,,,,52.7,39.18,48.05,51.87,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR4365,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
