COMRIE,,,,,,,,,,
Grid ref,NN 77147 22008,Long,-3.99077,Lat,56.374359,Elevation,200,ft,,
Station no,RR4365,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,4.2,12.25,14.1,5.4,10.1,5.2,10.2,,
February,,6.1,5.1,1.15,1.9,1.5,-999,4.7,,
March,,4.3,4.8,2.45,5.1,6.9,-999,1.3,,
April,,5.5,2.2,0.8,4.15,1.2,2.5,3.4,,
May,,1.3,3.9,3.6,2.1,2.55,0.05,3.3,,
June,,3.1,6.1,2.9,2,3.4,3.9,4.8,,
July,1,4,5.2,6.3,4.03,3.1,1.8,3.7,,
August,2.3,4.3,5.3,4.35,4.1,3.8,3.2,,,
September,2.1,2.2,4.5,4.3,5.95,5.5,2.8,,,
October,6.3,6.6,5.2,5.95,9.65,7.05,7.1,,,
November,2,3.7,11.6,2.8,5.15,5.1,3.8,,,
December,5.5,10.95,9.8,4.9,1.75,6.45,8.25,,,
Total,,56.25,75.95,53.6,51.28,56.65,46.45,,,
,,,,,,,,,,
1876 FM Bracketed,,,,,,,,,,
Station no,RR4365,,,,,,,,,
Midas,,,,,,,,,,
Hyd Stn,,,,,,,,,,
