COMRIE WOODVILLE COTTAGE DALGINROSS,,,,,,,,,,
Grid ref,NN 77519 21585,Long,-3.98456,Lat,56.370661,Elevation,200,ft,,
Station no,RR4365,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,,,,,
April,,,,,,,,,,
May,,,,,,,,,,
June,,,,,,,,,,
July,,,,,,,,,,
August,,,,,,,,8,,
September,,,,,,,,3.5,,
October,,,,,,,,10.3,,
November,,,,,,,,12.6,,
December,,,,,,,,11.2,,
Total,,,,,,,,,,
,,,,,,,,,,
Station no,RR4365,,,,,,,,,
Midas,,,,,,,,,,
Hyd Stn,,,,,,,,,,
