"YORK (ACOMB LANDING) TREATMENT WKS.",,,,,,,,,,,,
Grid ref,SE582526,Long,-1.114344,Lat,53.966211,,,,,,,
Station no,3326,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.96,1.50,0.57,1.31,1.32,3.99,1.07,2.30,2.27,4.65,,
February,2.45,0.34,1.45,2.08,1.77,1.45,2.49,3.91,0.28,1.55,,
March,2.65,2.17,0.21,1.65,2.18,1.13,1.63,1.94,0.93,1.09,,
April,0.90,1.11,2.27,0.19,0.97,1.84,0.14,0.55,3.01,0.80,,
May,4.03,1.39,1.78,2.37,2.14,0.93,0.83,3.32,0.40,0.67,,
June,1.04,1.66,1.19,2.11,2.23,2.23,2.37,2.93,1.32,0.55,,
July,2.11,1.70,1.34,2.10,0.99,3.37,2.71,2.69,1.41,5.08,,
August,5.39,1.66,2.73,6.62,0.77,6.12,4.61,2.24,0.24,2.71,,
September,1.63,3.60,1.14,1.88,1.13,1.90,3.27,2.28,0.12,3.02,,
October,1.57,2.46,1.70,2.88,1.51,1.28,2.18,1.50,1.59,5.29,,
November,5.26,1.43,1.98,4.46,2.06,0.66,1.61,0.70,2.78,3.99,,
December,1.88,1.64,1.31,2.18,3.11,2.29,2.40,3.62,3.08,2.24,,
Total,30.87,20.66,17.67,29.83,20.18,27.19,25.31,27.98,17.43,31.64,,
Calc annual,30.87,20.66,17.67,29.83,20.18,27.19,25.31,27.98,17.43,31.64,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
