IPSTONES-SHARPCLIFFE-HALL,,,,,,,,,,,,,,,,,,,,
Grid ref,SK008521,Long,-1.9895129,Lat,53.066141,Elevation,925,ft.,,,,,,,,,,,,
Station no,RR6337,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,2.1,2.9,1.28,4.1,0.85,1.99,3.36,3.12,1.29,5.3,3.46,2.13,4.86,2.02,,,
February,,,,1.25,3.11,1.8,2.9,,3.28,1.25,3.08,2.01,1.48,1.08,2.13,3.9,5.69,,,
March,,,2.45,5,1.14,3.06,1.62,,3.27,5.5,1.14,2.25,5.06,5.09,5.03,1.66,3.74,,,
April,,,1.84,2.49,3.02,2.64,1.67,,1.15,3.83,3.32,2.36,0.32,4,1.29,1.38,3.31,,,
May,,,3.52,2.85,2.36,0.08,1.91,4.46,4.61,2.18,2.24,1.85,2.13,2.43,2.91,2.39,2.1,,,
June,,,2.47,1.32,1.56,1.9,1.23,5.77,4.01,3.34,2.08,3.05,5.05,2.51,1.23,2.16,2.39,,,
July,,,2.6,3.39,2.69,1.44,0.57,4.22,3.97,5.35,5.67,0.3,4.73,0.98,6.48,6.12,3.48,,,
August,,,3.72,5.71,5.42,4.15,2.57,4.18,4.23,2.02,5.93,2.13,6.84,2.22,3.75,3.15,3.25,,,
September,,,2.55,5.73,1.03,1.6,2.1,1.01,4.42,3.98,0.25,2.88,1.95,2.32,1.92,0.57,1.8,,,
October,,,3.84,8.19,2.05,2.68,5.61,5.16,1.26,5.89,2.94,2.21,3.73,4.23,2.7,1.95,4.6,,,
November,,,2.15,3.61,3.23,2.74,3.44,3.35,2.66,0.86,6.71,3.61,3.45,3.33,4.37,2.62,3.09,,,
December,,,2.1,2.05,1.38,0.93,3.71,2.93,2.46,8.39,5.73,5.57,2.7,1.74,7.14,6.68,3.14,,,
Total,,,,43.69,29.89,24.3,31.43,,37.31,45.95,42.21,29.51,42.74,33.39,41.08,37.44,38.61,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Sharpcliffe Hall. Altitudes match,,,,,,,,,,,,,,,,,,,,
